QSIa momento - alpha=1.750 -cat
-------------------------------------------------------------------------------
Z         | Q         | alpha     | QSI_alpha | integration_error | space   
-------------------------------------------------------------------------------
6.000e+00 | 1.000e+00 | 1.750e+00 | 9.934e-01 | 1.474e-07         | momentum
7.000e+00 | 1.000e+00 | 1.750e+00 | 9.958e-01 | 1.430e-07         | momentum
8.000e+00 | 1.000e+00 | 1.750e+00 | 9.973e-01 | 1.477e-07         | momentum
9.000e+00 | 1.000e+00 | 1.750e+00 | 9.985e-01 | 1.409e-07         | momentum
1.000e+01 | 1.000e+00 | 1.750e+00 | 9.991e-01 | 1.402e-07         | momentum
1.100e+01 | 1.000e+00 | 1.750e+00 | 9.994e-01 | 1.468e-07         | momentum
1.200e+01 | 1.000e+00 | 1.750e+00 | 8.625e-01 | 1.490e-07         | momentum
1.300e+01 | 1.000e+00 | 1.750e+00 | 9.630e-01 | 1.422e-07         | momentum
1.400e+01 | 1.000e+00 | 1.750e+00 | 9.864e-01 | 1.476e-07         | momentum
1.500e+01 | 1.000e+00 | 1.750e+00 | 9.936e-01 | 1.485e-07         | momentum
1.600e+01 | 1.000e+00 | 1.750e+00 | 9.965e-01 | 1.309e-07         | momentum
1.700e+01 | 1.000e+00 | 1.750e+00 | 9.980e-01 | 1.435e-07         | momentum
1.800e+01 | 1.000e+00 | 1.750e+00 | 9.988e-01 | 1.196e-07         | momentum
1.900e+01 | 1.000e+00 | 1.750e+00 | 9.992e-01 | 1.430e-07         | momentum
2.000e+01 | 1.000e+00 | 1.750e+00 | 9.449e-01 | 1.488e-07         | momentum
2.100e+01 | 1.000e+00 | 1.750e+00 | 9.526e-01 | 1.473e-07         | momentum
2.200e+01 | 1.000e+00 | 1.750e+00 | 9.568e-01 | 1.465e-07         | momentum
2.300e+01 | 1.000e+00 | 1.750e+00 | 9.997e-01 | 1.430e-07         | momentum
2.400e+01 | 1.000e+00 | 1.750e+00 | 9.998e-01 | 1.453e-07         | momentum
2.500e+01 | 1.000e+00 | 1.750e+00 | 9.646e-01 | 1.454e-07         | momentum
2.600e+01 | 1.000e+00 | 1.750e+00 | 9.659e-01 | 1.414e-07         | momentum
2.700e+01 | 1.000e+00 | 1.750e+00 | 9.999e-01 | 1.318e-07         | momentum
2.800e+01 | 1.000e+00 | 1.750e+00 | 9.999e-01 | 1.462e-07         | momentum
2.900e+01 | 1.000e+00 | 1.750e+00 | 9.999e-01 | 1.459e-07         | momentum
3.000e+01 | 1.000e+00 | 1.750e+00 | 9.686e-01 | 1.424e-07         | momentum
3.100e+01 | 1.000e+00 | 1.750e+00 | 9.752e-01 | 1.462e-07         | momentum
3.200e+01 | 1.000e+00 | 1.750e+00 | 9.872e-01 | 1.471e-07         | momentum
3.300e+01 | 1.000e+00 | 1.750e+00 | 9.927e-01 | 9.528e-08         | momentum
3.400e+01 | 1.000e+00 | 1.750e+00 | 9.954e-01 | 1.205e-07         | momentum
3.500e+01 | 1.000e+00 | 1.750e+00 | 9.971e-01 | 1.388e-07         | momentum
3.600e+01 | 1.000e+00 | 1.750e+00 | 9.980e-01 | 1.356e-07         | momentum
3.700e+01 | 1.000e+00 | 1.750e+00 | 9.986e-01 | 6.686e-08         | momentum
3.800e+01 | 1.000e+00 | 1.750e+00 | 9.662e-01 | 1.461e-07         | momentum
3.900e+01 | 1.000e+00 | 1.750e+00 | 9.758e-01 | 1.489e-07         | momentum
4.000e+01 | 1.000e+00 | 1.750e+00 | 9.789e-01 | 1.414e-07         | momentum
4.100e+01 | 1.000e+00 | 1.750e+00 | 9.995e-01 | 1.470e-07         | momentum
4.200e+01 | 1.000e+00 | 1.750e+00 | 9.996e-01 | 1.466e-07         | momentum
4.300e+01 | 1.000e+00 | 1.750e+00 | 9.852e-01 | 1.414e-07         | momentum
4.400e+01 | 1.000e+00 | 1.750e+00 | 9.998e-01 | 1.473e-07         | momentum
4.500e+01 | 1.000e+00 | 1.750e+00 | 9.998e-01 | 1.446e-07         | momentum
4.600e+01 | 1.000e+00 | 1.750e+00 | 9.998e-01 | 1.482e-07         | momentum
4.700e+01 | 1.000e+00 | 1.750e+00 | 9.998e-01 | 1.482e-07         | momentum
4.800e+01 | 1.000e+00 | 1.750e+00 | 9.872e-01 | 1.486e-07         | momentum
4.900e+01 | 1.000e+00 | 1.750e+00 | 9.856e-01 | 1.436e-07         | momentum
5.000e+01 | 1.000e+00 | 1.750e+00 | 9.913e-01 | 1.475e-07         | momentum
5.100e+01 | 1.000e+00 | 1.750e+00 | 9.943e-01 | 1.445e-07         | momentum
5.200e+01 | 1.000e+00 | 1.750e+00 | 9.961e-01 | 1.417e-07         | momentum
5.300e+01 | 1.000e+00 | 1.750e+00 | 9.973e-01 | 1.474e-07         | momentum
5.400e+01 | 1.000e+00 | 1.750e+00 | 9.980e-01 | 1.487e-07         | momentum
5.500e+01 | 1.000e+00 | 1.750e+00 | 9.985e-01 | 1.461e-07         | momentum

