QSIa momento - alpha=0.750 -cat
-------------------------------------------------------------------------------
Z         | Q         | alpha     | QSI_alpha | integration_error | space   
-------------------------------------------------------------------------------
6.000e+00 | 1.000e+00 | 7.500e-01 | 9.946e-01 | 2.633e-06         | momentum
7.000e+00 | 1.000e+00 | 7.500e-01 | 9.956e-01 | 4.863e-07         | momentum
8.000e+00 | 1.000e+00 | 7.500e-01 | 9.963e-01 | 1.484e-07         | momentum
9.000e+00 | 1.000e+00 | 7.500e-01 | 9.968e-01 | 2.006e-07         | momentum
1.000e+01 | 1.000e+00 | 7.500e-01 | 9.972e-01 | 1.309e-07         | momentum
1.100e+01 | 1.000e+00 | 7.500e-01 | 9.976e-01 | 5.368e-07         | momentum
1.200e+01 | 1.000e+00 | 7.500e-01 | 9.977e-01 | 5.828e-06         | momentum
1.300e+01 | 1.000e+00 | 7.500e-01 | 9.979e-01 | 5.238e-07         | momentum
1.400e+01 | 1.000e+00 | 7.500e-01 | 9.980e-01 | 7.723e-06         | momentum
1.500e+01 | 1.000e+00 | 7.500e-01 | 9.982e-01 | 9.505e-07         | momentum
1.600e+01 | 1.000e+00 | 7.500e-01 | 9.983e-01 | 8.514e-07         | momentum
1.700e+01 | 1.000e+00 | 7.500e-01 | 9.984e-01 | 9.685e-07         | momentum
1.800e+01 | 1.000e+00 | 7.500e-01 | 9.985e-01 | 1.093e-06         | momentum
1.900e+01 | 1.000e+00 | 7.500e-01 | 9.986e-01 | 7.201e-07         | momentum
2.000e+01 | 1.000e+00 | 7.500e-01 | 9.986e-01 | 4.550e-06         | momentum
2.100e+01 | 1.000e+00 | 7.500e-01 | 9.987e-01 | 2.595e-06         | momentum
2.200e+01 | 1.000e+00 | 7.500e-01 | 9.987e-01 | 2.210e-06         | momentum
2.300e+01 | 1.000e+00 | 7.500e-01 | 9.988e-01 | 6.652e-07         | momentum
2.400e+01 | 1.000e+00 | 7.500e-01 | 9.989e-01 | 2.079e-06         | momentum
2.500e+01 | 1.000e+00 | 7.500e-01 | 9.989e-01 | 1.092e-06         | momentum
2.600e+01 | 1.000e+00 | 7.500e-01 | 9.989e-01 | 5.875e-06         | momentum
2.700e+01 | 1.000e+00 | 7.500e-01 | 9.990e-01 | 1.524e-05         | momentum
2.800e+01 | 1.000e+00 | 7.500e-01 | 9.990e-01 | 7.593e-06         | momentum
2.900e+01 | 1.000e+00 | 7.500e-01 | 9.991e-01 | 7.244e-06         | momentum
3.000e+01 | 1.000e+00 | 7.500e-01 | 9.991e-01 | 8.495e-06         | momentum
3.100e+01 | 1.000e+00 | 7.500e-01 | 9.991e-01 | 9.054e-06         | momentum
3.200e+01 | 1.000e+00 | 7.500e-01 | 9.992e-01 | 1.859e-05         | momentum
3.300e+01 | 1.000e+00 | 7.500e-01 | 9.992e-01 | 1.556e-06         | momentum
3.400e+01 | 1.000e+00 | 7.500e-01 | 9.992e-01 | 1.413e-05         | momentum
3.500e+01 | 1.000e+00 | 7.500e-01 | 9.992e-01 | 1.884e-06         | momentum
3.600e+01 | 1.000e+00 | 7.500e-01 | 9.992e-01 | 4.434e-06         | momentum
3.700e+01 | 1.000e+00 | 7.500e-01 | 9.993e-01 | 6.183e-07         | momentum
3.800e+01 | 1.000e+00 | 7.500e-01 | 9.993e-01 | 1.064e-06         | momentum
3.900e+01 | 1.000e+00 | 7.500e-01 | 9.993e-01 | 1.209e-05         | momentum
4.000e+01 | 1.000e+00 | 7.500e-01 | 9.993e-01 | 3.153e-06         | momentum
4.100e+01 | 1.000e+00 | 7.500e-01 | 9.993e-01 | 1.851e-05         | momentum
4.200e+01 | 1.000e+00 | 7.500e-01 | 9.993e-01 | 6.283e-06         | momentum
4.300e+01 | 1.000e+00 | 7.500e-01 | 9.994e-01 | 3.651e-06         | momentum
4.400e+01 | 1.000e+00 | 7.500e-01 | 9.994e-01 | 2.552e-05         | momentum
4.500e+01 | 1.000e+00 | 7.500e-01 | 9.994e-01 | 1.598e-06         | momentum
4.600e+01 | 1.000e+00 | 7.500e-01 | 9.994e-01 | 1.636e-06         | momentum
4.700e+01 | 1.000e+00 | 7.500e-01 | 9.994e-01 | 1.232e-05         | momentum
4.800e+01 | 1.000e+00 | 7.500e-01 | 9.994e-01 | 2.177e-05         | momentum
4.900e+01 | 1.000e+00 | 7.500e-01 | 9.994e-01 | 3.040e-06         | momentum
5.000e+01 | 1.000e+00 | 7.500e-01 | 9.994e-01 | 6.629e-06         | momentum
5.100e+01 | 1.000e+00 | 7.500e-01 | 9.995e-01 | 1.052e-05         | momentum
5.200e+01 | 1.000e+00 | 7.500e-01 | 9.995e-01 | 1.092e-05         | momentum
5.300e+01 | 1.000e+00 | 7.500e-01 | 9.995e-01 | 4.426e-06         | momentum
5.400e+01 | 1.000e+00 | 7.500e-01 | 9.995e-01 | 1.281e-06         | momentum
5.500e+01 | 1.000e+00 | 7.500e-01 | 9.995e-01 | 2.641e-05         | momentum

