QSIa posicion - alpha=2.250 -cat
-------------------------------------------------------------------------------
Z         | Q         | alpha     | QSI_alpha | integration_error | space   
-------------------------------------------------------------------------------
6.000e+00 | 1.000e+00 | 2.250e+00 | 9.968e-01 | 5.813e-07         | position
7.000e+00 | 1.000e+00 | 2.250e+00 | 9.940e-01 | 2.073e-07         | position
8.000e+00 | 1.000e+00 | 2.250e+00 | 9.904e-01 | 4.812e-07         | position
9.000e+00 | 1.000e+00 | 2.250e+00 | 9.866e-01 | 1.474e-07         | position
1.000e+01 | 1.000e+00 | 2.250e+00 | 9.823e-01 | 6.803e-06         | position
1.100e+01 | 1.000e+00 | 2.250e+00 | 9.779e-01 | 7.114e-07         | position
1.200e+01 | 1.000e+00 | 2.250e+00 | 9.753e-01 | 5.760e-07         | position
1.300e+01 | 1.000e+00 | 2.250e+00 | 9.732e-01 | 3.898e-05         | position
1.400e+01 | 1.000e+00 | 2.250e+00 | 9.713e-01 | 5.455e-07         | position
1.500e+01 | 1.000e+00 | 2.250e+00 | 9.697e-01 | 1.173e-06         | position
1.600e+01 | 1.000e+00 | 2.250e+00 | 9.683e-01 | 1.326e-06         | position
1.700e+01 | 1.000e+00 | 2.250e+00 | 9.671e-01 | 4.590e-07         | position
1.800e+01 | 1.000e+00 | 2.250e+00 | 9.660e-01 | 1.765e-06         | position
1.900e+01 | 1.000e+00 | 2.250e+00 | 9.650e-01 | 2.728e-06         | position
2.000e+01 | 1.000e+00 | 2.250e+00 | 9.642e-01 | 4.508e-05         | position
2.100e+01 | 1.000e+00 | 2.250e+00 | 9.636e-01 | 1.532e-04         | position
2.200e+01 | 1.000e+00 | 2.250e+00 | 9.630e-01 | 1.502e-04         | position
2.300e+01 | 1.000e+00 | 2.250e+00 | 9.625e-01 | 7.027e-04         | position
2.400e+01 | 1.000e+00 | 2.250e+00 | 9.620e-01 | 3.398e-04         | position
2.500e+01 | 1.000e+00 | 2.250e+00 | 9.615e-01 | 1.816e-05         | position
2.600e+01 | 1.000e+00 | 2.250e+00 | 9.611e-01 | 1.729e-04         | position
2.700e+01 | 1.000e+00 | 2.250e+00 | 9.607e-01 | 9.089e-05         | position
2.800e+01 | 1.000e+00 | 2.250e+00 | 9.603e-01 | 9.859e-04         | position
2.900e+01 | 1.000e+00 | 2.250e+00 | 9.599e-01 | 2.349e-04         | position
3.000e+01 | 1.000e+00 | 2.250e+00 | 9.596e-01 | 5.558e-04         | position
3.100e+01 | 1.000e+00 | 2.250e+00 | 9.592e-01 | 2.042e-03         | position
3.200e+01 | 1.000e+00 | 2.250e+00 | 9.588e-01 | 4.315e-04         | position
3.300e+01 | 1.000e+00 | 2.250e+00 | 9.585e-01 | 7.543e-04         | position
3.400e+01 | 1.000e+00 | 2.250e+00 | 9.582e-01 | 8.169e-04         | position
3.500e+01 | 1.000e+00 | 2.250e+00 | 9.579e-01 | 5.677e-04         | position
3.600e+01 | 1.000e+00 | 2.250e+00 | 9.576e-01 | 1.958e-04         | position
3.700e+01 | 1.000e+00 | 2.250e+00 | 9.574e-01 | 3.744e-04         | position
3.800e+01 | 1.000e+00 | 2.250e+00 | 9.571e-01 | 1.334e-03         | position
3.900e+01 | 1.000e+00 | 2.250e+00 | 9.569e-01 | 2.879e-03         | position
4.000e+01 | 1.000e+00 | 2.250e+00 | 9.567e-01 | 3.668e-03         | position
4.100e+01 | 1.000e+00 | 2.250e+00 | 9.565e-01 | 4.265e-03         | position
4.200e+01 | 1.000e+00 | 2.250e+00 | 9.563e-01 | 4.871e-03         | position
4.300e+01 | 1.000e+00 | 2.250e+00 | 9.562e-01 | 6.059e-03         | position
4.400e+01 | 1.000e+00 | 2.250e+00 | 9.560e-01 | 7.556e-03         | position
4.500e+01 | 1.000e+00 | 2.250e+00 | 9.558e-01 | 1.372e-02         | position
4.600e+01 | 1.000e+00 | 2.250e+00 | 9.557e-01 | 1.130e-02         | position
4.700e+01 | 1.000e+00 | 2.250e+00 | 9.555e-01 | 6.207e-03         | position
4.800e+01 | 1.000e+00 | 2.250e+00 | 9.554e-01 | 4.177e-04         | position
4.900e+01 | 1.000e+00 | 2.250e+00 | 9.552e-01 | 5.780e-04         | position
5.000e+01 | 1.000e+00 | 2.250e+00 | 9.551e-01 | 9.576e-03         | position
5.100e+01 | 1.000e+00 | 2.250e+00 | 9.550e-01 | 1.574e-03         | position
5.200e+01 | 1.000e+00 | 2.250e+00 | 9.549e-01 | 1.840e-02         | position
5.300e+01 | 1.000e+00 | 2.250e+00 | 9.548e-01 | 1.820e-04         | position
5.400e+01 | 1.000e+00 | 2.250e+00 | 9.547e-01 | 3.245e-02         | position
5.500e+01 | 1.000e+00 | 2.250e+00 | 9.546e-01 | 1.950e-02         | position

