QSIa momento - alpha=2.500 -ani
--------------------------------------------------------------------------------
Z         | Q          | alpha     | QSI_alpha | integration_error | space   
--------------------------------------------------------------------------------
6.000e+00 | -1.000e+00 | 2.500e+00 | 9.996e-01 | 1.400e-07         | momentum
7.000e+00 | -1.000e+00 | 2.500e+00 | 9.998e-01 | 1.455e-07         | momentum
8.000e+00 | -1.000e+00 | 2.500e+00 | 9.998e-01 | 1.352e-08         | momentum
9.000e+00 | -1.000e+00 | 2.500e+00 | 9.998e-01 | 1.219e-07         | momentum
1.100e+01 | -1.000e+00 | 2.500e+00 | 9.993e-01 | 1.477e-07         | momentum
1.300e+01 | -1.000e+00 | 2.500e+00 | 9.998e-01 | 1.426e-07         | momentum
1.400e+01 | -1.000e+00 | 2.500e+00 | 9.996e-01 | 1.474e-07         | momentum
1.500e+01 | -1.000e+00 | 2.500e+00 | 9.997e-01 | 1.435e-07         | momentum
1.600e+01 | -1.000e+00 | 2.500e+00 | 9.998e-01 | 1.431e-07         | momentum
1.700e+01 | -1.000e+00 | 2.500e+00 | 9.998e-01 | 8.068e-09         | momentum
1.900e+01 | -1.000e+00 | 2.500e+00 | 9.971e-01 | 1.481e-07         | momentum
2.100e+01 | -1.000e+00 | 2.500e+00 | 9.936e-01 | 1.484e-07         | momentum
2.200e+01 | -1.000e+00 | 2.500e+00 | 9.943e-01 | 1.469e-07         | momentum
2.300e+01 | -1.000e+00 | 2.500e+00 | 9.946e-01 | 1.462e-07         | momentum
2.400e+01 | -1.000e+00 | 2.500e+00 | 9.950e-01 | 1.414e-07         | momentum
2.500e+01 | -1.000e+00 | 2.500e+00 | 9.946e-01 | 1.416e-07         | momentum
2.600e+01 | -1.000e+00 | 2.500e+00 | 9.945e-01 | 1.437e-07         | momentum
2.700e+01 | -1.000e+00 | 2.500e+00 | 9.944e-01 | 1.485e-07         | momentum
2.800e+01 | -1.000e+00 | 2.500e+00 | 9.944e-01 | 1.466e-07         | momentum
2.900e+01 | -1.000e+00 | 2.500e+00 | 9.945e-01 | 1.489e-07         | momentum
3.100e+01 | -1.000e+00 | 2.500e+00 | 9.990e-01 | 1.483e-07         | momentum
3.200e+01 | -1.000e+00 | 2.500e+00 | 9.991e-01 | 1.458e-07         | momentum
3.300e+01 | -1.000e+00 | 2.500e+00 | 9.994e-01 | 1.481e-07         | momentum
3.400e+01 | -1.000e+00 | 2.500e+00 | 9.996e-01 | 8.373e-08         | momentum
3.500e+01 | -1.000e+00 | 2.500e+00 | 9.996e-01 | 1.062e-08         | momentum
3.700e+01 | -1.000e+00 | 2.500e+00 | 9.954e-01 | 1.476e-07         | momentum
3.900e+01 | -1.000e+00 | 2.500e+00 | 9.965e-01 | 1.480e-07         | momentum
4.000e+01 | -1.000e+00 | 2.500e+00 | 9.849e-01 | 1.457e-07         | momentum
4.100e+01 | -1.000e+00 | 2.500e+00 | 9.854e-01 | 1.476e-07         | momentum
4.200e+01 | -1.000e+00 | 2.500e+00 | 9.863e-01 | 1.480e-07         | momentum
4.300e+01 | -1.000e+00 | 2.500e+00 | 9.853e-01 | 1.472e-07         | momentum
4.400e+01 | -1.000e+00 | 2.500e+00 | 9.851e-01 | 1.490e-07         | momentum
4.500e+01 | -1.000e+00 | 2.500e+00 | 9.852e-01 | 1.464e-07         | momentum
4.600e+01 | -1.000e+00 | 2.500e+00 | 9.854e-01 | 1.483e-07         | momentum
4.700e+01 | -1.000e+00 | 2.500e+00 | 9.859e-01 | 1.468e-07         | momentum
4.900e+01 | -1.000e+00 | 2.500e+00 | 9.972e-01 | 1.452e-07         | momentum
5.000e+01 | -1.000e+00 | 2.500e+00 | 9.977e-01 | 1.481e-07         | momentum
5.100e+01 | -1.000e+00 | 2.500e+00 | 9.986e-01 | 1.436e-07         | momentum
5.200e+01 | -1.000e+00 | 2.500e+00 | 9.990e-01 | 5.578e-08         | momentum
5.300e+01 | -1.000e+00 | 2.500e+00 | 9.993e-01 | 6.760e-08         | momentum

