EntropicMoment - momento q=0.500
-----------------------------------------------
Z  | Q | q     | EntropicMoment | integration_error | space   
34 | 0 | 1.000 | 1.00000e+00    | 1.44402e-10       | momentum
35 | 0 | 1.000 | 1.00000e+00    | 4.53171e-11       | momentum
36 | 0 | 1.000 | 1.00000e+00    | 1.78986e-11       | momentum
37 | 0 | 1.000 | 1.00000e+00    | 4.31119e-11       | momentum
38 | 0 | 1.000 | 1.00000e+00    | 1.28842e-10       | momentum
39 | 0 | 1.000 | 1.00000e+00    | 7.15129e-11       | momentum
40 | 0 | 1.000 | 1.00000e+00    | 8.87763e-11       | momentum
41 | 0 | 1.000 | 1.00000e+00    | 1.11536e-10       | momentum
42 | 0 | 1.000 | 1.00000e+00    | 1.24436e-10       | momentum
43 | 0 | 1.000 | 1.00000e+00    | 9.02939e-11       | momentum
44 | 0 | 1.000 | 1.00000e+00    | 3.68659e-11       | momentum
45 | 0 | 1.000 | 1.00000e+00    | 1.74198e-11       | momentum
46 | 0 | 1.000 | 1.00000e+00    | 1.03547e-10       | momentum
47 | 0 | 1.000 | 1.00000e+00    | 6.45175e-11       | momentum
48 | 0 | 1.000 | 1.00000e+00    | 8.18985e-11       | momentum
49 | 0 | 1.000 | 1.00000e+00    | 1.33702e-10       | momentum
50 | 0 | 1.000 | 1.00000e+00    | 1.91128e-12       | momentum


EntropicMoment - momento q=1.250
-----------------------------------------------
Z  | Q | q     | EntropicMoment | integration_error | space   
-----------------------------------------------
1  | 0 | 1.250 | 5.93031e-01    | 7.75181e-12       | momentum
2  | 0 | 1.250 | 4.13061e-01    | 1.00596e-10       | momentum
3  | 0 | 1.250 | 4.77571e-01    | 3.38824e-11       | momentum
4  | 0 | 1.250 | 4.67601e-01    | 1.01328e-10       | momentum
5  | 0 | 1.250 | 3.95142e-01    | 1.23263e-11       | momentum
6  | 0 | 1.250 | 3.43815e-01    | 7.34754e-12       | momentum
7  | 0 | 1.250 | 3.05847e-01    | 6.74245e-11       | momentum
8  | 0 | 1.250 | 2.79317e-01    | 2.04189e-11       | momentum
9  | 0 | 1.250 | 2.56913e-01    | 1.42321e-11       | momentum
10 | 0 | 1.250 | 2.37961e-01    | 3.07727e-11       | momentum
11 | 0 | 1.250 | 2.50975e-01    | 1.10167e-11       | momentum
12 | 0 | 1.250 | 2.60852e-01    | 2.07301e-11       | momentum
13 | 0 | 1.250 | 2.54797e-01    | 1.05493e-11       | momentum
14 | 0 | 1.250 | 2.46930e-01    | 2.27213e-11       | momentum
15 | 0 | 1.250 | 2.38934e-01    | 2.07964e-11       | momentum
16 | 0 | 1.250 | 2.32633e-01    | 1.58376e-12       | momentum
17 | 0 | 1.250 | 2.25983e-01    | 9.76554e-12       | momentum
18 | 0 | 1.250 | 2.19360e-01    | 6.58719e-12       | momentum
19 | 0 | 1.250 | 2.26403e-01    | 1.16974e-11       | momentum
20 | 0 | 1.250 | 2.33359e-01    | 6.85406e-11       | momentum
21 | 0 | 1.250 | 2.23337e-01    | 3.16042e-11       | momentum
22 | 0 | 1.250 | 2.14151e-01    | 4.55195e-11       | momentum
23 | 0 | 1.250 | 2.05773e-01    | 9.96173e-11       | momentum
24 | 0 | 1.250 | 1.86567e-01    | 9.35682e-12       | momentum
