Z;Q;N;Config;Energy;Ionization;Valence_n;Valence_l;n;l;mz;N_list;A_list;C_list
10;1;9;4S;-127,817814121;0,7926;2;1;2;1;5;[3, 2, 2, 2, 2, 2, 3];[22.917554, 13.143059, 6.237158, 4.379686, 2.949963, 2.064486, 1.792539];[0.000222265157, 0.007398925331, 0.165014437715, 0.500764069459, 0.788088518655, 0.913942250667, 0.026588860714]
11;1;10;2D;-161,676962609;0,189;2;1;1;0;2;[1, 1, 2, 1, 1, 2, 1, 2];[38.286368, 18.558412, 15.257782, 10.016950, 6.613006, 4.947267, 2.474614, 1.895886];[-0.000881196471, 0.182352939373, 0.129334638605, 1.097901223203, 0.030529759542, 0.002139705120, 0.001584909139, -0.000042709250]
11;1;10;2D;-161,676962609;0,189;2;1;2;0;2;[1, 1, 2, 1, 1, 2, 1, 2];[38.286368, 18.558412, 15.257782, 10.016950, 6.613006, 4.947267, 2.474614, 1.895886];[0.000165887251, 0.024918442969, 0.036377956886, -0.276667690376, -0.753186950217, -0.043518462584, 1.904742163185, 0.003793486460]
11;1;10;2D;-161,676962609;0,189;2;1;2;1;6;[3, 2, 2, 2, 2, 2, 3];[25.035874, 14.553626, 6.758888, 4.571932, 3.037726, 2.162522, 1.895886];[0.000224863158, 0.007273269893, 0.232291725930, 0.648618515216, 0.885301931306, 0.848749175670, 0.019314716520]
12;1;11;2P;-199,371809657;0,2809;3;0;1;0;2;[3, 1, 2, 1, 2, 3, 2, 3, 3, 1];[30.489574, 16.928524, 14.613007, 10.060309, 5.113615, 3.040431, 2.740295, 1.461943, 1.120710, 1.040615];[0.000902409674, -0.507830655219, -0.281483087556, -0.670557987302, -0.003309542579, 0.000616314270, -0.000891803072, 0.000160088975, 0.000000565685, -0.000338986991]
12;1;11;2P;-199,371809657;0,2809;3;0;2;0;2;[3, 1, 2, 1, 2, 3, 2, 3, 3, 1];[30.489574, 16.928524, 14.613007, 10.060309, 5.113615, 3.040431, 2.740295, 1.461943, 1.120710, 1.040615];[0.000390181522, 0.083058318153, 0.077986524054, -0.628683830827, 0.552016909448, -0.738104928260, 1.736266194393, 0.019584736519, 0.003263014952, -0.059461740601]
12;1;11;2P;-199,371809657;0,2809;3;0;3;0;1;[3, 1, 2, 1, 2, 3, 2, 3, 3, 1];[30.489574, 16.928524, 14.613007, 10.060309, 5.113615, 3.040431, 2.740295, 1.461943, 1.120710, 1.040615];[-0.000050300000, -0.015062600000, -0.014014100000, 0.100379000000, -0.120102400000, 0.068622600000, -0.337838300000, 0.416135100000, 0.568874200000, 0.148624700000]
12;1;11;2P;-199,371809657;0,2809;3;0;2;1;6;[3, 2, 2, 2, 2, 2, 3];[27.569118, 15.967731, 7.248739, 4.754054, 3.082852, 2.257316, 1.040615];[0.000216534893, 0.007006030562, 0.301557906979, 0.762983966561, 1.237147372806, 0.303893985347, 0.000687081873]
13;1;12;3P;-241,674670411;0,2199;3;0;1;0;2;[3, 1, 2, 1, 2, 3, 2, 3, 3, 1];[32.296386, 18.512920, 15.998712, 10.978117, 5.628319, 3.751762, 3.500398, 1.701856, 1.258305, 1.142189];[0.000899581247, -0.486551266589, -0.274231990357, -0.697970820152, -0.002073095661, 0.001634123771, -0.002312522017, 0.000395131269, 0.000030122749, -0.000855316363]
13;1;12;3P;-241,674670411;0,2199;3;0;2;0;2;[3, 1, 2, 1, 2, 3, 2, 3, 3, 1];[32.296386, 18.512920, 15.998712, 10.978117, 5.628319, 3.751762, 3.500398, 1.701856, 1.258305, 1.142189];[0.000385797460, 0.088236743954, 0.079973635531, -0.652073933199, 0.466389389516, -0.376948442713, 1.441344401039, -0.002013274427, -0.000275347381, 0.004925988680]
