Z;Q;N;Config;Energy;Ionization;Valence_n;Valence_l;n;l;mz;N_list;A_list;C_list
42;-1;43;3F;-3975,526266257;0,2621;4;2;3;2;10;[3, 4, 3, 3, 3, 4, 3, 3, 3, 3, 3, 3];[45.537869, 34.510321, 17.073392, 14.023118, 8.876223, 7.317837, 4.989926, 3.040713, 1.947284, 1.238428, 0.779653, 0.185662];[0.002485866469, 0.013219585531, 0.028664465851, 0.607331868479, 1.927241581840, 0.593458007701, 0.259026906561, 0.004683649442, 0.000442718872, -0.000176771321, 0.000032887688, -0.000002529822]
42;-1;43;3F;-3975,526266257;0,2621;4;2;4;2;5;[3, 4, 3, 3, 3, 4, 3, 3, 3, 3, 3, 3];[45.537869, 34.510321, 17.073392, 14.023118, 8.876223, 7.317837, 4.989926, 3.040713, 1.947284, 1.238428, 0.779653, 0.185662];[-0.000528159256, -0.002870887676, 0.008567941669, -0.144003895785, -0.370430151648, -0.264627464797, 0.088706158308, 0.794619626004, 1.036819999807, 0.622158858317, 0.104017633784, 0.000266092089]
43;-1;44;4F;-4204,764629736;0,2658;4;2;1;0;2;[1, 3, 1, 4, 2, 3, 3, 3, 2, 4, 2, 2, 2, 2, 1];[75.312699, 55.705916, 45.130608, 32.948324, 20.612275, 20.612017, 9.748223, 7.509306, 7.509229, 3.928282, 3.511620, 2.441652, 0.754281, 0.391683, 0.191237];[0.034433978923, -0.040890288100, -1.373610218205, 0.049305000217, -0.137459578364, 0.053138226078, 0.016599897374, 0.005407811241, -0.027230823565, -0.000093762359, 0.000071417785, 0.000068730779, -0.000002828427, 0.000002404163, -0.000001414214]
43;-1;44;4F;-4204,764629736;0,2658;4;2;2;0;2;[1, 3, 1, 4, 2, 3, 3, 3, 2, 4, 2, 2, 2, 2, 1];[75.312699, 55.705916, 45.130608, 32.948324, 20.612275, 20.612017, 9.748223, 7.509306, 7.509229, 3.928282, 3.511620, 2.441652, 0.754281, 0.391683, 0.191237];[0.055066223428, -0.058895630912, -0.534050598930, 0.138994424343, 0.691360927383, 0.570863002222, -0.296535976714, -0.123155373866, 0.539357576744, -0.000974675987, 0.002984414881, 0.000149482374, 0.000000989949, -0.000001979899, 0.000001272792]
43;-1;44;4F;-4204,764629736;0,2658;4;2;3;0;2;[1, 3, 1, 4, 2, 3, 3, 3, 2, 4, 2, 2, 2, 2, 1];[75.312699, 55.705916, 45.130608, 32.948324, 20.612275, 20.612017, 9.748223, 7.509306, 7.509229, 3.928282, 3.511620, 2.441652, 0.754281, 0.391683, 0.191237];[-0.023796405929, 0.026255299050, 0.227356891883, -0.047163456620, -0.282109867007, -0.496421770148, 1.531646886744, 0.558864248674, -0.477203032099, 0.000598495180, 0.007248693035, 0.000488752207, 0.000032385491, -0.000023900209, 0.000013010765]
43;-1;44;4F;-4204,764629736;0,2658;4;2;4;0;2;[1, 3, 1, 4, 2, 3, 3, 3, 2, 4, 2, 2, 2, 2, 1];[75.312699, 55.705916, 45.130608, 32.948324, 20.612275, 20.612017, 9.748223, 7.509306, 7.509229, 3.928282, 3.511620, 2.441652, 0.754281, 0.391683, 0.191237];[0.009295484324, -0.010451462490, -0.089950912213, 0.014545752174, 0.122441196017, 0.242913241069, -0.356129804861, -1.123770866214, -0.211299203989, 0.240888511512, 1.336263525029, 0.646395158639, 0.000884873426, -0.000318480894, 0.000145098311]
43;-1;44;4F;-4204,764629736;0,2658;4;2;5;0;2;[1, 3, 1, 4, 2, 3, 3, 3, 2, 4, 2, 2, 2, 2, 1];[75.312699, 55.705916, 45.130608, 32.948324, 20.612275, 20.612017, 9.748223, 7.509306, 7.509229, 3.928282, 3.511620, 2.441652, 0.754281, 0.391683, 0.191237];[-0.001576565279, 0.001799303915, 0.015346197051, -0.002123017400, -0.022622891515, -0.044194598088, 0.039097489567, 0.239207011586, 0.056272123332, 0.014948378776, -0.175587765955, -0.448697860693, 0.656349807905, 0.614333381545, 0.329534246029]
43;-1;44;4F;-4204,764629736;0,2658;4;2;2;1;6;[2, 3, 2, 3, 3, 2, 3, 3, 3, 2, 2, 2];[67.176031, 55.690402, 33.823668, 27.242414, 20.253084, 13.943172, 9.485245, 7.076767, 2.531225, 2.252153, 0.965516, 0.191237];[-0.016366755614, -0.031543059214, 0.706801979923, 0.846415056894, 0.768852699036, 0.358075963610, 0.001901048989, 0.000873977940, 0.000442132899, -0.000714026260, -0.000011022704, 0.000000979796]
43;-1;44;4F;-4204,764629736;0,2658;4;2;3;1;6;[2, 3, 2, 3, 3, 2, 3, 3, 3, 2, 2, 2];[67.176031, 55.690402, 33.823668, 27.242414, 20.253084, 13.943172, 9.485245, 7.076767, 2.531225, 2.252153, 0.965516, 0.191237];[-0.011522644699, -0.022272965282, 0.379838945128, 0.407916711202, 0.734523345240, -0.273984490842, -1.900064784395, -0.777194436355, 0.017697563392, -0.030079978990, -0.000080098315, 0.000011757551]
43;-1;44;4F;-4204,764629736;0,2658;4;2;4;1;6;[2, 3, 2, 3, 3, 2, 3, 3, 3, 2, 2, 2];[67.176031, 55.690402, 33.823668, 27.242414, 20.253084, 13.943172, 9.485245, 7.076767, 2.531225, 2.252153, 0.965516, 0.191237];[-0.005597329011, -0.010826009816, 0.168914118224, 0.170650071604, 0.387148957367, -0.344635368442, -0.738792071015, -1.408398304244, -1.731555811775, 4.938929683475, 0.019369830039, 0.000228537393]
43;-1;44;4F;-4204,764629736;0,2658;4;2;3;2;10;[3, 4, 3, 3, 3, 4, 3, 3, 3, 3, 3, 3];[46.021191, 35.133830, 18.569919, 14.659353, 9.176789, 7.572081, 5.242938, 3.147052, 1.997374, 1.264586, 0.796743, 0.191237];[0.002679081634, 0.013627203121, 0.001350292561, 0.618329953953, 1.973908578182, 0.565488294252, 0.244135424831, 0.006000421860, 0.000402557946, 0.000255512035, 0.000031622777, 0.000000000000]
43;-1;44;4F;-4204,764629736;0,2658;4;2;4;2;6;[3, 4, 3, 3, 3, 4, 3, 3, 3, 3, 3, 3];[46.021191, 35.133830, 18.569919, 14.659353, 9.176789, 7.572081, 5.242938, 3.147052, 1.997374, 1.264586, 0.796743, 0.191237];[-0.000690266210, -0.003591196912, 0.012473046719, -0.162991741924, -0.452734045230, -0.335945068733, 0.177503498956, 0.977203357170, 1.108204763052, 0.610430480228, 0.095389009359, 0.000239560097]
44;-1;45;7S;-4441,528474293;0,271;4;2;1;0;2;[1, 3, 1, 4, 3, 2, 3, 2, 3, 4, 2, 2, 2, 2, 1];[77.746812, 57.466455, 46.317218, 34.073622, 21.312636, 21.306721, 10.096369, 7.857654, 7.824953, 4.120062, 3.846079, 2.552612, 0.778953, 0.401619, 0.194084];[-0.035294103612, 0.041559493957, 1.370685200294, -0.052062292400, -0.057268153944, 0.146426682299, -0.018532703049, 0.029710505625, -0.005170789048, 0.000160088975, -0.000190353145, -0.000111581450, 0.000004242641, -0.000003676955, 0.000002121320]
44;-1;45;7S;-4441,528474293;0,271;4;2;2;0;2;[1, 3, 1, 4, 3, 2, 3, 2, 3, 4, 2, 2, 2, 2, 1];[77.746812, 57.466455, 46.317218, 34.073622, 21.312636, 21.306721, 10.096369, 7.857654, 7.824953, 4.120062, 3.846079, 2.552612, 0.778953, 0.401619, 0.194084];[0.053108244751, -0.057051072162, -0.529870890746, 0.137493095225, 0.599784235258, 0.649067598008, -0.314290579461, 0.563346598560, -0.118041011939, -0.000282701291, 0.002022042551, -0.000170978420, 0.000012586501, -0.000011879394, 0.000006788225]
44;-1;45;7S;-4441,528474293;0,271;4;2;3;0;2;[1, 3, 1, 4, 3, 2, 3, 2, 3, 4, 2, 2, 2, 2, 1];[77.746812, 57.466455, 46.317218, 34.073622, 21.312636, 21.306721, 10.096369, 7.857654, 7.824953, 4.120062, 3.846079, 2.552612, 0.778953, 0.401619, 0.194084];[-0.023055499443, 0.025549465061, 0.226871958053, -0.047338819101, -0.496849569750, -0.253479679122, 1.610788399015, -0.621441218910, 0.601612954816, 0.000293166471, 0.009596853234, 0.000967887762, 0.000023475945, -0.000016263456, 0.000008768124]
44;-1;45;7S;-4441,528474293;0,271;4;2;4;0;2;[1, 3, 1, 4, 3, 2, 3, 2, 3, 4, 2, 2, 2, 2, 1];[77.746812, 57.466455, 46.317218, 34.073622, 21.312636, 21.306721, 10.096369, 7.857654, 7.824953, 4.120062, 3.846079, 2.552612, 0.778953, 0.401619, 0.194084];[0.009128748545, -0.010316970780, -0.091041129449, 0.014843019865, 0.245974306325, 0.112219118967, -0.371953581832, -0.163192466923, -1.221922378612, 0.315472861999, 1.300819090515, 0.677419610085, 0.000907500843, -0.000339552676, 0.000155704913]
44;-1;45;7S;-4441,528474293;0,271;4;2;5;0;2;[1, 3, 1, 4, 3, 2, 3, 2, 3, 4, 2, 2, 2, 2, 1];[77.746812, 57.466455, 46.317218, 34.073622, 21.312636, 21.306721, 10.096369, 7.857654, 7.824953, 4.120062, 3.846079, 2.552612, 0.778953, 0.401619, 0.194084];[-0.001523390849, 0.001747543699, 0.015284254497, -0.002142957811, -0.044021356927, -0.020535229454, 0.039655255396, 0.047298655436, 0.255558714480, 0.002793496050, -0.177365008139, -0.435381201526, 0.648000998139, 0.619264885659, 0.330849464642]
44;-1;45;7S;-4441,528474293;0,271;4;2;2;1;6;[2, 3, 2, 3, 3, 2, 3, 3, 3, 2, 2, 2];[68.938264, 57.610608, 36.267946, 28.920214, 21.287857, 14.267432, 9.883781, 7.431783, 2.641987, 2.349342, 0.987970, 0.194084];[-0.022316321251, -0.039854422860, 0.657814389608, 0.800493492891, 0.846900300812, 0.392879538620, -0.001952733223, 0.002244467451, 0.000870058757, -0.001318560329, -0.000023025204, 0.000002204541]
44;-1;45;7S;-4441,528474293;0,271;4;2;3;1;6;[2, 3, 2, 3, 3, 2, 3, 3, 3, 2, 2, 2];[68.938264, 57.610608, 36.267946, 28.920214, 21.287857, 14.267432, 9.883781, 7.431783, 2.641987, 2.349342, 0.987970, 0.194084];[-0.014383158821, -0.025986636681, 0.339464495595, 0.364527919593, 0.691342760258, -0.108042338524, -1.867463300664, -0.840924525636, 0.023037451031, -0.038223797538, -0.000166810251, 0.000019595918]
44;-1;45;7S;-4441,528474293;0,271;4;2;4;1;6;[2, 3, 2, 3, 3, 2, 3, 3, 3, 2, 2, 2];[68.938264, 57.610608, 36.267946, 28.920214, 21.287857, 14.267432, 9.883781, 7.431783, 2.641987, 2.349342, 0.987970, 0.194084];[-0.007132179284, -0.012948002780, 0.153423545090, 0.151623170129, 0.366987942141, -0.270357286431, -0.710965377639, -1.491101161277, -1.806334079592, 5.032327257674, 0.017026648151, 0.000196204128]
44;-1;45;7S;-4441,528474293;0,271;4;2;3;2;10;[3, 4, 3, 3, 3, 4, 3, 3, 3, 3, 3, 3];[46.539696, 35.746927, 20.071778, 15.306154, 9.535520, 7.866816, 5.498039, 3.241090, 2.034099, 1.282084, 0.806257, 0.194084];[0.002930482708, 0.014261556020, -0.012043218241, 0.604487083496, 2.005859599205, 0.563711726663, 0.230485769539, 0.008292440708, -0.000362080792, 0.000847806641, -0.000086962636, 0.000007905694]
44;-1;45;7S;-4441,528474293;0,271;4;2;4;2;7;[3, 4, 3, 3, 3, 4, 3, 3, 3, 3, 3, 3];[46.539696, 35.746927, 20.071778, 15.306154, 9.535520, 7.866816, 5.498039, 3.241090, 2.034099, 1.282084, 0.806257, 0.194084];[-0.000921515182, -0.004622392116, 0.016249146252, -0.178300355754, -0.533711537473, -0.420705942900, 0.285650921475, 1.162877549047, 1.177359597999, 0.577948234819, 0.070997148982, 0.000203722851]
45;-1;46;6S;-4685,875577988;0,2743;4;2;1;0;2;[1, 3, 1, 4, 2, 3, 3, 3, 2, 3, 2, 2, 2, 2, 1];[80.746947, 59.354316, 47.521316, 35.255376, 22.085628, 22.040298, 10.532538, 8.319295, 8.317816, 3.782996, 3.488047, 2.586704, 0.801327, 0.410571, 0.196115];[0.035257475481, -0.042492592066, -1.366134685314, 0.055026342605, -0.155678467424, 0.061488308636, 0.021416850189, 0.004785557274, -0.033693496702, -0.000843861233, 0.001036477120, 0.000198131320, -0.000008061017, 0.000006788225, -0.000003818377]
45;-1;46;6S;-4685,875577988;0,2743;4;2;2;0;2;[1, 3, 1, 4, 2, 3, 3, 3, 2, 3, 2, 2, 2, 2, 1];[80.746947, 59.354316, 47.521316, 35.255376, 22.085628, 22.040298, 10.532538, 8.319295, 8.317816, 3.782996, 3.488047, 2.586704, 0.801327, 0.410571, 0.196115];[0.049858381984, -0.055519478874, -0.523654715033, 0.135112973800, 0.599212468715, 0.634279449629, -0.321969193419, -0.110590934892, 0.580178144115, 0.001558321924, -0.001359059233, -0.000628335086, 0.000027718586, -0.000024041631, 0.000013293607]
45;-1;46;6S;-4685,875577988;0,2743;4;2;3;0;2;[1, 3, 1, 4, 2, 3, 3, 3, 2, 3, 2, 2, 2, 2, 1];[80.746947, 59.354316, 47.521316, 35.255376, 22.085628, 22.040298, 10.532538, 8.319295, 8.317816, 3.782996, 3.488047, 2.586704, 0.801327, 0.410571, 0.196115];[-0.021744382050, 0.024980102680, 0.225429884483, -0.047171517637, -0.219647872333, -0.496625275479, 1.610409106937, 0.706663990920, -0.766569228894, -0.021522633363, 0.041087712313, 0.003020053062, -0.000058548441, 0.000052043059, -0.000028849957]
45;-1;46;6S;-4685,875577988;0,2743;4;2;4;0;2;[1, 3, 1, 4, 2, 3, 3, 3, 2, 3, 2, 2, 2, 2, 1];[80.746947, 59.354316, 47.521316, 35.255376, 22.085628, 22.040298, 10.532538, 8.319295, 8.317816, 3.782996, 3.488047, 2.586704, 0.801327, 0.410571, 0.196115];[0.008684119801, -0.010330688652, -0.091539781151, 0.013444221231, 0.103898169208, 0.256023990742, -0.280962232701, -1.275841533419, -0.075197129224, 0.241974768949, 1.424067519633, 0.477189455649, 0.001913713793, -0.001244366514, 0.000660861998]
45;-1;46;6S;-4685,875577988;0,2743;4;2;5;0;2;[1, 3, 1, 4, 2, 3, 3, 3, 2, 3, 2, 2, 2, 2, 1];[80.746947, 59.354316, 47.521316, 35.255376, 22.085628, 22.040298, 10.532538, 8.319295, 8.317816, 3.782996, 3.488047, 2.586704, 0.801327, 0.410571, 0.196115];[-0.001419446153, 0.001706390084, 0.015061798703, -0.001922906181, -0.018839163128, -0.044855318665, 0.018545289550, 0.268806077183, 0.038826101984, 0.031079605775, -0.263803862391, -0.350511275799, 0.638742707632, 0.623095990199, 0.334547067422]
45;-1;46;6S;-4685,875577988;0,2743;4;2;2;1;6;[2, 3, 2, 3, 3, 2, 3, 3, 3, 2, 2, 2];[70.895846, 59.464825, 37.952202, 30.130460, 22.069759, 14.698635, 10.218985, 7.728522, 2.814291, 2.497050, 1.130890, 0.196115];[-0.024722944923, -0.042726939481, 0.633020899381, 0.777779374506, 0.873869917727, 0.419073647083, -0.003636757421, 0.002889173152, 0.001148320791, -0.001725665524, -0.000031598418, 0.000002204541]
45;-1;46;6S;-4685,875577988;0,2743;4;2;3;1;6;[2, 3, 2, 3, 3, 2, 3, 3, 3, 2, 2, 2];[70.895846, 59.464825, 37.952202, 30.130460, 22.069759, 14.698635, 10.218985, 7.728522, 2.814291, 2.497050, 1.130890, 0.196115];[-0.015382060738, -0.026962758344, 0.321586159861, 0.348041383930, 0.670923078915, -0.026891723141, -1.873317581149, -0.853024025169, 0.027783092459, -0.045856407577, -0.000226577801, 0.000019350969]
45;-1;46;6S;-4685,875577988;0,2743;4;2;4;1;6;[2, 3, 2, 3, 3, 2, 3, 3, 3, 2, 2, 2];[70.895846, 59.464825, 37.952202, 30.130460, 22.069759, 14.698635, 10.218985, 7.728522, 2.814291, 2.497050, 1.130890, 0.196115];[-0.007616198457, -0.013401158383, 0.146718556817, 0.146612738860, 0.356953362461, -0.233248986522, -0.721859238321, -1.550917700796, -1.682388673862, 4.954494966046, 0.023922941573, 0.000241519689]
45;-1;46;6S;-4685,875577988;0,2743;4;2;3;2;10;[3, 4, 3, 3, 3, 4, 3, 3, 3, 3, 3, 3];[47.023018, 36.370436, 21.568305, 15.802277, 9.789646, 8.085587, 5.751051, 3.321060, 2.081540, 1.311344, 0.823347, 0.196115];[0.003267897734, 0.015291193626, -0.017030762567, 0.606707634869, 2.051856825139, 0.516588413654, 0.222815665074, 0.007992973014, 0.000287451039, 0.000828832975, -0.000034152599, 0.000004743416]
45;-1;46;6S;-4685,875577988;0,2743;4;2;4;2;8;[3, 4, 3, 3, 3, 4, 3, 3, 3, 3, 3, 3];[47.023018, 36.370436, 21.568305, 15.802277, 9.789646, 8.085587, 5.751051, 3.321060, 2.081540, 1.311344, 0.823347, 0.196115];[-0.001222446203, -0.005889068116, 0.018023586167, -0.195556037191, -0.633532037761, -0.529691709888, 0.461946354767, 1.327304482111, 1.214640027294, 0.556243003836, 0.053428139858, 0.000349876435]
46;-1;47;5D;-4937,891539113;0,3063;4;2;1;0;2;[1, 3, 1, 4, 2, 3, 3, 3, 2, 3, 2, 2, 2, 2, 1];[82.981122, 60.747521, 48.682686, 36.184851, 22.659076, 22.631895, 10.854225, 8.701432, 8.695647, 4.273868, 3.566041, 2.662568, 0.820846, 0.418647, 0.197622];[0.036254071778, -0.044198840729, -1.364821305179, 0.054952662079, -0.157579170451, 0.064071228286, 0.026176810197, 0.002414911079, -0.038766139329, -0.004374586812, 0.006273168520, -0.000350866385, -0.000000565685, 0.000001555635, -0.000000989949]
46;-1;47;5D;-4937,891539113;0,3063;4;2;2;0;2;[1, 3, 1, 4, 2, 3, 3, 3, 2, 3, 2, 2, 2, 2, 1];[82.981122, 60.747521, 48.682686, 36.184851, 22.659076, 22.631895, 10.854225, 8.701432, 8.695647, 4.273868, 3.566041, 2.662568, 0.820846, 0.418647, 0.197622];[0.049426198320, -0.056177088181, -0.522664765539, 0.133459899567, 0.588521721290, 0.642662059099, -0.318906855371, -0.091804239087, 0.567664899672, 0.010442411523, -0.014956581214, 0.000776544667, 0.000001555635, -0.000003676955, 0.000002404163]
46;-1;47;5D;-4937,891539113;0,3063;4;2;3;0;2;[1, 3, 1, 4, 2, 3, 3, 3, 2, 3, 2, 2, 2, 2, 1];[82.981122, 60.747521, 48.682686, 36.184851, 22.659076, 22.631895, 10.854225, 8.701432, 8.695647, 4.273868, 3.566041, 2.662568, 0.820846, 0.418647, 0.197622];[-0.021670135838, 0.025328282059, 0.226228773724, -0.047657299996, -0.209100950428, -0.494848174717, 1.638726187939, 0.690487509087, -0.829895308054, -0.103921786575, 0.168487423922, -0.012537286073, 0.000284115505, -0.000223870007, 0.000120632417]
46;-1;47;5D;-4937,891539113;0,3063;4;2;4;0;2;[1, 3, 1, 4, 2, 3, 3, 3, 2, 3, 2, 2, 2, 2, 1];[82.981122, 60.747521, 48.682686, 36.184851, 22.659076, 22.631895, 10.854225, 8.701432, 8.695647, 4.273868, 3.566041, 2.662568, 0.820846, 0.418647, 0.197622];[0.008773922362, -0.010421764005, -0.092931932982, 0.015693669323, 0.096854395718, 0.250395703606, -0.309881910102, -1.280582260123, 0.034189319977, 0.400419579522, 1.177560761902, 0.509802634611, -0.000128976277, 0.000492570584, -0.000303348809]
46;-1;47;5D;-4937,891539113;0,3063;4;2;5;0;2;[1, 3, 1, 4, 2, 3, 3, 3, 2, 3, 2, 2, 2, 2, 1];[82.981122, 60.747521, 48.682686, 36.184851, 22.659076, 22.631895, 10.854225, 8.701432, 8.695647, 4.273868, 3.566041, 2.662568, 0.820846, 0.418647, 0.197622];[-0.001393848887, 0.001723784911, 0.014934943747, -0.001721663591, -0.018732390004, -0.045512220864, -0.001537532985, 0.287376539734, 0.044906230353, 0.051395490705, -0.322901018736, -0.303146859432, 0.627986340698, 0.627094396204, 0.338305622806]
46;-1;47;5D;-4937,891539113;0,3063;4;2;2;1;6;[2, 3, 2, 3, 3, 2, 3, 3, 3, 2, 2, 2];[72.763428, 61.391085, 40.145578, 31.547867, 22.930719, 15.129838, 10.566692, 8.033038, 2.981817, 2.638560, 1.257041, 0.197622];[-0.030503005869, -0.050045035037, 0.605977307875, 0.752055568074, 0.906741825127, 0.452984383082, -0.006504864961, 0.004139392716, 0.001681574708, -0.002475944232, -0.000048009999, 0.000002694439]
46;-1;47;5D;-4937,891539113;0,3063;4;2;3;1;6;[2, 3, 2, 3, 3, 2, 3, 3, 3, 2, 2, 2];[72.763428, 61.391085, 40.145578, 31.547867, 22.930719, 15.129838, 10.566692, 8.033038, 2.981817, 2.638560, 1.257041, 0.197622];[0.018077479251, 0.030150034397, -0.302257971147, -0.329393663467, -0.648259909917, -0.064879389868, 1.873495169155, 0.872631455713, -0.033138656832, 0.054353932443, 0.000266749433, -0.000018371173]
46;-1;47;5D;-4937,891539113;0,3063;4;2;4;1;6;[2, 3, 2, 3, 3, 2, 3, 3, 3, 2, 2, 2];[72.763428, 61.391085, 40.145578, 31.547867, 22.930719, 15.129838, 10.566692, 8.033038, 2.981817, 2.638560, 1.257041, 0.197622];[-0.008954599653, -0.014997000950, 0.139301501876, 0.139872967833, 0.345326369499, -0.189989527971, -0.726022880986, -1.609646911818, -1.586753980682, 4.895503169723, 0.031200375599, 0.000256951474]
46;-1;47;5D;-4937,891539113;0,3063;4;2;3;2;10;[3, 4, 3, 3, 3, 4, 3, 3, 3, 3, 3, 3];[48.846187, 37.689441, 21.043128, 16.505499, 10.228470, 8.492879, 5.949300, 3.510037, 2.202995, 1.383750, 0.834115, 0.197622];[0.002926055519, 0.013964301920, -0.029531562385, 0.585533023657, 2.052575294623, 0.548793365573, 0.220533133059, 0.007800074077, 0.001233604515, 0.001040389350, 0.000005375872, 0.000003794733]
46;-1;47;5D;-4937,891539113;0,3063;4;2;4;2;9;[3, 4, 3, 3, 3, 4, 3, 3, 3, 3, 3, 3];[48.846187, 37.689441, 21.043128, 16.505499, 10.228470, 8.492879, 5.949300, 3.510037, 2.202995, 1.383750, 0.834115, 0.197622];[-0.001125600000, -0.005501100000, 0.027339900000, -0.213669000000, -0.685312500000, -0.563452800000, 0.467224500000, 1.420695900000, 1.288106400000, 0.591511800000, 0.047978100000, 0.000026400000]
47;-1;48;4F;-5197,700044872;0,2783;4;2;1;0;2;[1, 3, 1, 4, 2, 3, 3, 3, 2, 3, 2, 2, 2, 2, 1];[85.305163, 62.457007, 49.871615, 37.263502, 23.304987, 23.300356, 11.212479, 9.082031, 9.080096, 4.377027, 3.715784, 2.779019, 0.834783, 0.423437, 0.198185];[0.037050839699, -0.044787153571, -1.362261154367, 0.057401514283, -0.165854016848, 0.068120263136, 0.027440127172, 0.001948220604, -0.040044305547, -0.003609073011, 0.005147171682, -0.000140997092, -0.000005656854, 0.000005515433, -0.000003111270]
47;-1;48;4F;-5197,700044872;0,2783;4;2;2;0;2;[1, 3, 1, 4, 2, 3, 3, 3, 2, 3, 2, 2, 2, 2, 1];[85.305163, 62.457007, 49.871615, 37.263502, 23.304987, 23.300356, 11.212479, 9.082031, 9.080096, 4.377027, 3.715784, 2.779019, 0.834783, 0.423437, 0.198185];[0.048290584829, -0.054821847324, -0.519849773443, 0.132567106545, 0.559205356985, 0.659884069019, -0.329123699831, -0.082831336876, 0.579919484455, 0.011492323672, -0.016579532698, 0.000459195144, 0.000014283557, -0.000014283557, 0.000008061017]
47;-1;48;4F;-5197,700044872;0,2783;4;2;3;0;2;[1, 3, 1, 4, 2, 3, 3, 3, 2, 3, 2, 2, 2, 2, 1];[85.305163, 62.457007, 49.871615, 37.263502, 23.304987, 23.300356, 11.212479, 9.082031, 9.080096, 4.377027, 3.715784, 2.779019, 0.834783, 0.423437, 0.198185];[-0.021261145275, 0.024831327414, 0.226122566286, -0.047833652427, -0.188782095649, -0.494635194154, 1.651673171682, 0.728179128951, -0.905247435085, -0.107289453331, 0.174640242868, -0.008789337290, 0.000125440743, -0.000090368247, 0.000047376154]
47;-1;48;4F;-5197,700044872;0,2783;4;2;4;0;2;[1, 3, 1, 4, 2, 3, 3, 3, 2, 3, 2, 2, 2, 2, 1];[85.305163, 62.457007, 49.871615, 37.263502, 23.304987, 23.300356, 11.212479, 9.082031, 9.080096, 4.377027, 3.715784, 2.779019, 0.834783, 0.423437, 0.198185];[0.008674503149, -0.010366468255, -0.093760096444, 0.015242676618, 0.091583763193, 0.256161735143, -0.245782114702, -1.378899942614, 0.042893380189, 0.361296351269, 1.211739475277, 0.531473053291, 0.000718137647, -0.000274074588, 0.000122612316]
47;-1;48;4F;-5197,700044872;0,2783;4;2;5;0;2;[1, 3, 1, 4, 2, 3, 3, 3, 2, 3, 2, 2, 2, 2, 1];[85.305163, 62.457007, 49.871615, 37.263502, 23.304987, 23.300356, 11.212479, 9.082031, 9.080096, 4.377027, 3.715784, 2.779019, 0.834783, 0.423437, 0.198185];[-0.001341664407, 0.001662408043, 0.014665111799, -0.001679802869, -0.017290457856, -0.044914715634, -0.011951801658, 0.295486205986, 0.037916621242, 0.043012456971, -0.295372361795, -0.303034005190, 0.620653643377, 0.629266486815, 0.340023468021]
47;-1;48;4F;-5197,700044872;0,2783;4;2;2;1;6;[2, 3, 2, 3, 3, 2, 3, 3, 3, 2, 2, 2];[74.591010, 63.110483, 41.631608, 32.619766, 23.644933, 15.561041, 10.856753, 8.298135, 3.285426, 2.874497, 1.568455, 0.198185];[-0.032349431237, -0.051833652447, 0.592099478789, 0.737120049316, 0.917539665811, 0.474520786798, -0.008627347823, 0.005489796412, 0.002661860503, -0.003846923641, -0.000063441784, 0.000001959592]
47;-1;48;4F;-5197,700044872;0,2783;4;2;3;1;6;[2, 3, 2, 3, 3, 2, 3, 3, 3, 2, 2, 2];[74.591010, 63.110483, 41.631608, 32.619766, 23.644933, 15.561041, 10.856753, 8.298135, 3.285426, 2.874497, 1.568455, 0.198185];[0.018881646733, 0.030787881526, -0.293394737462, -0.320417753253, -0.637562743262, -0.112690000362, 1.906898860778, 0.845090127892, -0.044787940151, 0.072490689346, 0.000075934182, -0.000008328265]
47;-1;48;4F;-5197,700044872;0,2783;4;2;4;1;6;[2, 3, 2, 3, 3, 2, 3, 3, 3, 2, 2, 2];[74.591010, 63.110483, 41.631608, 32.619766, 23.644933, 15.561041, 10.856753, 8.298135, 3.285426, 2.874497, 1.568455, 0.198185];[-0.009341619032, -0.015281141760, 0.136141660108, 0.137682144207, 0.340125367928, -0.169604874331, -0.756115597323, -1.660668803364, -1.211349346835, 4.566238349417, 0.077273563018, 0.000359095196]
47;-1;48;4F;-5197,700044872;0,2783;4;2;3;2;10;[3, 4, 3, 3, 3, 4, 3, 3, 3, 3, 3, 3];[49.287101, 38.264876, 21.633892, 17.358427, 10.665363, 8.921103, 6.286586, 3.679086, 2.279635, 1.433397, 0.878640, 0.198185];[0.003370987986, 0.015509074557, -0.059941605504, 0.577103656326, 2.051376158934, 0.550077566531, 0.252332997210, 0.005864760149, -0.000325398371, 0.000159378794, -0.000040160926, 0.000002213594]
47;-1;48;4F;-5197,700044872;0,2783;4;2;4;2;10;[3, 4, 3, 3, 3, 4, 3, 3, 3, 3, 3, 3];[49.287101, 38.264876, 21.633892, 17.358427, 10.665363, 8.921103, 6.286586, 3.679086, 2.279635, 1.433397, 0.878640, 0.198185];[-0.001451169218, -0.006847596045, 0.044438223047, -0.233879842152, -0.740074165365, -0.615592370183, 0.485929499283, 1.564161510010, 1.366930252345, 0.568950355834, 0.042880168844, 0.000111944629]
