Z;Q;N;Config;Energy;Ionization;Valence_n;Valence_l;n;l;mz;N_list;A_list;C_list
39;-1;40;2S;-3331,683106745;0,2346;5;1;2;1;6;[2, 3, 3, 2, 3, 3, 3, 3, 4, 2, 3, 2, 2, 2];[53.250710, 45.744209, 27.963600, 19.761441, 16.101252, 11.461856, 7.789906, 5.678835, 2.819032, 2.769775, 1.790808, 0.498868, 0.215173, 0.079356];[-0.025491349855, -0.039651115211, -0.266664925593, 2.237270360550, 0.588469824888, 0.030026580114, 0.004184953226, -0.000368648206, -0.000089406376, 0.000140110813, 0.000029883775, -0.000002694439, 0.000000734847, -0.000000244949]
39;-1;40;2S;-3331,683106745;0,2346;5;1;3;1;6;[2, 3, 3, 2, 3, 3, 3, 3, 4, 2, 3, 2, 2, 2];[53.250710, 45.744209, 27.963600, 19.761441, 16.101252, 11.461856, 7.789906, 5.678835, 2.819032, 2.769775, 1.790808, 0.498868, 0.215173, 0.079356];[0.026788109725, 0.040349709686, 0.223405467042, -1.132857162671, -0.422144327424, 0.485692419617, 1.869131648128, 0.524379660615, 0.001974778631, 0.003416548293, -0.000749543861, 0.000010042908, -0.000002449490, 0.000003184337]
39;-1;40;2S;-3331,683106745;0,2346;5;1;4;1;6;[2, 3, 3, 2, 3, 3, 3, 3, 4, 2, 3, 2, 2, 2];[53.250710, 45.744209, 27.963600, 19.761441, 16.101252, 11.461856, 7.789906, 5.678835, 2.819032, 2.769775, 1.790808, 0.498868, 0.215173, 0.079356];[-0.011579962759, -0.017232895187, -0.095197214312, 0.395062523879, 0.126028451807, -0.282567992799, -0.744279907834, -1.231643859252, 0.879383719138, 2.247309839210, 0.472286852153, 0.006809336536, -0.001445933795, 0.000249358056]
39;-1;40;2S;-3331,683106745;0,2346;5;1;5;1;1;[2, 3, 3, 2, 3, 3, 3, 3, 4, 2, 3, 2, 2, 2];[53.250710, 45.744209, 27.963600, 19.761441, 16.101252, 11.461856, 7.789906, 5.678835, 2.819032, 2.769775, 1.790808, 0.498868, 0.215173, 0.079356];[0.001781300000, 0.002660800000, 0.013819200000, -0.036944400000, -0.001138600000, 0.010804600000, 0.054599200000, 0.072426400000, -0.060911000000, -0.153343600000, -0.140337600000, 0.591241100000, 0.527599800000, 0.082188200000]
39;-1;40;2S;-3331,683106745;0,2346;5;1;3;2;10;[3, 4, 3, 4, 3, 4, 3, 3, 3, 3, 3, 3];[41.573472, 31.385895, 13.106625, 12.420341, 8.392388, 6.961804, 4.566537, 2.573134, 1.539634, 0.923170, 0.533884, 0.079356];[0.002839409111, 0.015465118897, 0.559100809606, 0.017107605914, 1.667034513256, 0.696551421700, 0.513084293779, 0.008435059431, 0.000270058512, -0.000121115234, 0.000077159575, -0.000002213594]
39;-1;40;2S;-3331,683106745;0,2346;5;1;4;2;1;[3, 4, 3, 4, 3, 4, 3, 3, 3, 3, 3, 3];[41.573472, 31.385895, 13.106625, 12.420341, 8.392388, 6.961804, 4.566537, 2.573134, 1.539634, 0.923170, 0.533884, 0.079356];[-0.000196300000, -0.001079000000, -0.041215400000, -0.010239000000, -0.096594100000, -0.076969200000, -0.030500300000, 0.279063300000, 0.503757800000, 0.329234600000, 0.050827200000, 0.000604800000]
40;-1;41;1S;-3538,994497048;0,2515;4;2;1;0;2;[1, 3, 1, 4, 2, 3, 4, 3, 2, 2, 2, 2, 2, 2, 1];[67.450497, 50.087841, 41.392563, 29.203784, 18.041660, 18.037815, 10.118813, 6.735228, 6.345881, 4.033866, 2.682391, 1.959441, 0.685741, 0.366699, 0.186704];[-0.027867219668, 0.035562662768, 1.384155018790, -0.038837557114, 0.105346606739, -0.040588636347, -0.004347858176, -0.004480228566, 0.012062534580, -0.000089661140, 0.000035638182, -0.000007919596, 0.000000282843, -0.000000141421, 0.000000000000]
40;-1;41;1S;-3538,994497048;0,2515;4;2;2;0;2;[1, 3, 1, 4, 2, 3, 4, 3, 2, 2, 2, 2, 2, 2, 1];[67.450497, 50.087841, 41.392563, 29.203784, 18.041660, 18.037815, 10.118813, 6.735228, 6.345881, 4.033866, 2.682391, 1.959441, 0.685741, 0.366699, 0.186704];[0.064013245530, -0.066766295072, -0.554481600844, 0.149901405021, 0.948516147553, 0.397603031791, -0.054569127360, -0.078731531759, 0.191675576598, 0.001697763382, -0.000580817510, 0.000113137085, -0.000007071068, 0.000005939697, -0.000003394113]
40;-1;41;1S;-3538,994497048;0,2515;4;2;3;0;2;[1, 3, 1, 4, 2, 3, 4, 3, 2, 2, 2, 2, 2, 2, 1];[67.450497, 50.087841, 41.392563, 29.203784, 18.041660, 18.037815, 10.118813, 6.735228, 6.345881, 4.033866, 2.682391, 1.959441, 0.685741, 0.366699, 0.186704];[-0.027389356905, 0.029319051311, 0.231896800261, -0.050558134855, -0.517686168114, -0.536115492152, 0.394667690121, -0.023986759074, 1.396421765809, 0.002185525639, 0.006286886392, -0.000505581349, 0.000059396970, -0.000047376154, 0.000026728636]
40;-1;41;1S;-3538,994497048;0,2515;4;2;4;0;2;[1, 3, 1, 4, 2, 3, 4, 3, 2, 2, 2, 2, 2, 2, 1];[67.450497, 50.087841, 41.392563, 29.203784, 18.041660, 18.037815, 10.118813, 6.735228, 6.345881, 4.033866, 2.682391, 1.959441, 0.685741, 0.366699, 0.186704];[0.010210904763, -0.011001591566, -0.086886877109, 0.016588017980, 0.193807079279, 0.236355249938, -0.058292327406, -0.660163234776, -0.677346070980, -0.294815868758, 1.922627722108, 0.277968484011, 0.000393717056, 0.000064205296, -0.000055578593]
40;-1;41;1S;-3538,994497048;0,2515;4;2;5;0;2;[1, 3, 1, 4, 2, 3, 4, 3, 2, 2, 2, 2, 2, 2, 1];[67.450497, 50.087841, 41.392563, 29.203784, 18.041660, 18.037815, 10.118813, 6.735228, 6.345881, 4.033866, 2.682391, 1.959441, 0.685741, 0.366699, 0.186704];[-0.001847387177, 0.002022466816, 0.015784178991, -0.002619547782, -0.035832353294, -0.045054864198, -0.001377161167, 0.178548139205, 0.140325906412, -0.019070245625, -0.245600953944, -0.375882974215, 0.689363774990, 0.601007812833, 0.326679655953]
40;-1;41;1S;-3538,994497048;0,2515;4;2;2;1;6;[2, 3, 2, 3, 3, 2, 3, 3, 3, 2, 2, 2];[65.754581, 53.003930, 29.684560, 24.275120, 17.824462, 11.572641, 8.371764, 6.151678, 2.061198, 1.843327, 0.677908, 0.186704];[-0.007360961626, -0.017638775638, 0.787493560928, 0.941741849214, 0.790551748871, 0.150675952446, 0.004083544350, -0.000660627384, -0.000397307236, 0.000465892949, 0.000021310561, -0.000004164133]
40;-1;41;1S;-3538,994497048;0,2515;4;2;3;1;6;[2, 3, 2, 3, 3, 2, 3, 3, 3, 2, 2, 2];[65.754581, 53.003930, 29.684560, 24.275120, 17.824462, 11.572641, 8.371764, 6.151678, 2.061198, 1.843327, 0.677908, 0.186704];[-0.005783735181, -0.013645372510, 0.416768187337, 0.468889899778, 0.806260326592, -0.596973473479, -1.866032063807, -0.684614011935, 0.010016943354, -0.017083476313, 0.000006858571, 0.000003674235]
