Element name;Symbol;clasificacion;Possible hybridization;Z;Q;N;Complete electronic configuration;Special configuration;Config;Energy;Ionization;Valence_n;Valence_l;n;l;mz;N_list;A_list;C_list
Hydrogen;H;Non metal;Likely without hybridisation;1;0;1;1s^1;Half orbital;2S;-0,5;0,5;1;0;1;0;1;[1];[1.000000];[1.000000000000]
Helium;He;Noble gas;Likely without hybridisation;2;0;2;1s^2;Noble gas;1S;-2,861679996;0,9037;1;0;1;0;2;[2, 1, 1, 1, 2];[6.437494, 3.384356, 2.177906, 1.455077, 1.354958];[0.001145937250, 0.112971056318, 0.254786129611, 1.047638800404, 0.038468730217]
Lithium;Li;Alkali metal;Likely without hybridisation;3;0;3;1s^2 2s^1;Half orbital;2S;-7,432726929;0,1982;2;0;1;0;2;[1, 1, 1, 1, 1, 1, 2, 1];[10.335672, 5.553473, 3.453336, 2.416445, 1.555772, 0.889955, 0.637402, 0.626614];[0.002018082754, -0.072792117640, -0.208121324693, -1.146303389482, -0.011000884459, 0.000579544718, -0.000711208001, -0.000380564870]
Lithium;Li;Alkali metal;Likely without hybridisation;3;0;3;1s^2 2s^1;Half orbital;2S;-7,432726929;0,1982;2;0;2;0;1;[1, 1, 1, 1, 1, 1, 2, 1];[10.335672, 5.553473, 3.453336, 2.416445, 1.555772, 0.889955, 0.637402, 0.626614];[0.000272800000, -0.005985800000, -0.040054900000, -0.027361800000, -0.144829700000, -0.605339000000, 0.595582700000, 0.997983100000]
Beryllium;Be;Alkaline earth metal;Likely without hybridisation;4;0;4;1s^2 2s^2;Full orbital;1S;-14,573023167;0,3426;2;0;1;0;2;[1, 1, 1, 1, 1, 1, 2, 1];[12.683501, 8.105927, 5.152556, 3.472467, 2.349757, 1.406429, 0.821620, 0.786473];[-0.003523795933, 0.044408427179, 0.120164877867, 1.228323957723, 0.044668642474, -0.004989911133, -0.000586757207, 0.001739341260]
Beryllium;Be;Alkaline earth metal;Likely without hybridisation;4;0;4;1s^2 2s^2;Full orbital;1S;-14,573023167;0,3426;2;0;2;0;2;[1, 1, 1, 1, 1, 1, 2, 1];[12.683501, 8.105927, 5.152556, 3.472467, 2.349757, 1.406429, 0.821620, 0.786473];[0.000628193664, -0.004382647830, -0.051909557335, 0.019644840595, -0.508836302484, -0.362527848439, 0.344234854588, 1.576988836295]
Boron;B;Metaloid;sp;5;0;5;1s^2 2s^2 2p^1;No special;2P;-24,529060725;0,3051;2;1;1;0;2;[2, 1, 2, 1, 1, 2, 1, 1];[16.109305, 7.628062, 6.135799, 4.167618, 2.488602, 1.642523, 0.991698, 0.787218];[-0.000781918679, -0.332356733456, -0.213394078539, -0.908089862924, -0.001627335546, -0.001217779299, 0.000666377431, -0.000328521811]
Boron;B;Metaloid;sp;5;0;5;1s^2 2s^2 2p^1;No special;2P;-24,529060725;0,3051;2;1;2;0;2;[2, 1, 2, 1, 1, 2, 1, 1];[16.109305, 7.628062, 6.135799, 4.167618, 2.488602, 1.642523, 0.991698, 0.787218];[-0.000175221060, 0.017287488008, 0.050341335916, -0.281034499014, -0.760700808296, -0.169667160876, 2.033978796790, 0.042321472225]
Boron;B;Metaloid;sp;5;0;5;1s^2 2s^2 2p^1;No special;2P;-24,529060725;0,3051;2;1;2;1;1;[3, 2, 3, 2, 2, 2, 2];[12.135370, 5.508493, 3.930298, 2.034395, 1.301082, 0.919434, 0.787218];[0.000059900000, 0.011375100000, 0.009509600000, 0.164751800000, 0.336786000000, 0.409916200000, 0.132939600000]
Carbon;C;Non metal;sp;6;0;6;1s^2 2s^2 2p^2;No special;3P;-37,68861896;0,414;2;1;1;0;2;[2, 1, 2, 1, 1, 2, 1, 1];[18.890445, 9.238787, 7.517513, 5.100368, 3.276630, 2.270243, 1.192963, 0.930957];[-0.000776403246, -0.316811556557, -0.206218076081, -0.923709710299, -0.005769849913, -0.001567231470, -0.000287509617, -0.000093055252]
Carbon;C;Non metal;sp;6;0;6;1s^2 2s^2 2p^2;No special;3P;-37,68861896;0,414;2;1;2;0;2;[2, 1, 2, 1, 1, 2, 1, 1];[18.890445, 9.238787, 7.517513, 5.100368, 3.276630, 2.270243, 1.192963, 0.930957];[-0.000193888679, 0.017695912885, 0.044442651147, -0.268761953719, -0.669122843379, -0.031412935911, 1.822924958854, 0.024963839224]
Carbon;C;Non metal;sp;6;0;6;1s^2 2s^2 2p^2;No special;3P;-37,68861896;0,414;2;1;2;1;2;[3, 2, 3, 2, 2, 2, 2];[15.083626, 6.565676, 4.729110, 2.494494, 1.601933, 1.123315, 0.930957];[0.000078064589, 0.019441335263, 0.023041215886, 0.284503989146, 0.516355251731, 0.539041075749, 0.134622241693]
Nitrogen;N;Non metal;sp2;7;0;7;1s^2 2s^2 2p^3;Half orbital;1D;-54,400934199;0,5346;2;1;1;0;2;[2, 1, 2, 1, 1, 2, 1, 1];[21.666277, 10.957976, 8.981511, 6.085323, 3.948957, 2.648617, 1.406521, 1.065447];[-0.000771594920, -0.278668378303, -0.181291430673, -0.973779234368, -0.014545469332, -0.001701581758, -0.000553381767, -0.000041153615]
Nitrogen;N;Non metal;sp2;7;0;7;1s^2 2s^2 2p^3;Half orbital;1D;-54,400934199;0,5346;2;1;2;0;2;[2, 1, 2, 1, 1, 2, 1, 1];[21.666277, 10.957976, 8.981511, 6.085323, 3.948957, 2.648617, 1.406521, 1.065447];[-0.000184130606, 0.026434904172, 0.047677381828, -0.292222059663, -0.636127261070, 0.017959946557, 1.741406295006, 0.036953683228]
Nitrogen;N;Non metal;sp2;7;0;7;1s^2 2s^2 2p^3;Half orbital;1D;-54,400934199;0,5346;2;1;2;1;3;[3, 2, 3, 2, 2, 2, 2];[17.587523, 7.584576, 5.559658, 2.932934, 1.874157, 1.306305, 1.065447];[0.000092318308, 0.027773954315, 0.038435939471, 0.400864799673, 0.665810895939, 0.608961697538, 0.125240610178]
Oxygen;O;Non metal;sp2;8;0;8;1s^2 2s^2 2p^4;No special;1S;-74,809398459;0,5004;2;1;1;0;2;[2, 1, 2, 1, 1, 2, 1, 1];[24.975698, 12.554759, 10.357096, 7.071190, 4.804646, 2.785958, 1.606267, 1.124194];[-0.000672599970, -0.262027327314, -0.169012097154, -0.987192201479, -0.028100989170, -0.002027557984, -0.000078630274, -0.000166877200]
Oxygen;O;Non metal;sp2;8;0;8;1s^2 2s^2 2p^4;No special;1S;-74,809398459;0,5004;2;1;2;0;2;[2, 1, 2, 1, 1, 2, 1, 1];[24.975698, 12.554759, 10.357096, 7.071190, 4.804646, 2.785958, 1.606267, 1.124194];[-0.000174796796, 0.023252075128, 0.040792000257, -0.253625060276, -0.620054865355, 0.106406842647, 1.629859493167, 0.020159614332]
Oxygen;O;Non metal;sp2;8;0;8;1s^2 2s^2 2p^4;No special;1S;-74,809398459;0,5004;2;1;2;1;4;[3, 2, 3, 2, 2, 2, 2];[20.797000, 8.661006, 6.427925, 3.402194, 2.135366, 1.425500, 1.124194];[0.000096200000, 0.034360600000, 0.053602000000, 0.505711600000, 0.770652000000, 0.686704000000, 0.130433400000]
Fluorine;F;Non metal;sp3;9;0;9;1s^2 2s^2 2p^5;No special;4S;-99,409349369;0,6404;2;1;1;0;2;[2, 1, 2, 1, 1, 2, 1, 1];[27.647598, 14.291092, 11.832995, 8.080680, 5.633450, 3.182099, 1.812284, 1.208319];[-0.000664256110, -0.234739793785, -0.151857969485, -1.015559204219, -0.041291641909, -0.002215789810, -0.000236315086, -0.000144815469]
Fluorine;F;Non metal;sp3;9;0;9;1s^2 2s^2 2p^5;No special;4S;-99,409349369;0,6404;2;1;2;0;2;[2, 1, 2, 1, 1, 2, 1, 1];[27.647598, 14.291092, 11.832995, 8.080680, 5.633450, 3.182099, 1.812284, 1.208319];[-0.000186393348, 0.017082709884, 0.031573166308, -0.209918224445, -0.629664587932, 0.149017945809, 1.570345002401, 0.018866598872]
Fluorine;F;Non metal;sp3;9;0;9;1s^2 2s^2 2p^5;No special;4S;-99,409349369;0,6404;2;1;2;1;5;[3, 2, 3, 2, 2, 2, 2];[22.939589, 9.684811, 7.284146, 3.846095, 2.385087, 1.560088, 1.208319];[0.000105989622, 0.041943492302, 0.069182377976, 0.603799398581, 0.876121173289, 0.736383024384, 0.127146626516]
Neon;Ne;Noble gas;sp3;10;0;10;1s^2 2s^2 2p^6;Noble gas;2D;-128,547098079;0,7926;2;1;1;0;2;[2, 1, 2, 1, 1, 2, 1, 1];[29.214419, 16.354484, 13.516489, 9.144899, 6.491668, 3.574219, 2.016153, 1.304155];[-0.000799596348, -0.189678989890, -0.126141344381, -1.064507115512, -0.059112429851, -0.002438669867, -0.000291893679, -0.000143401255]
Neon;Ne;Noble gas;sp3;10;0;10;1s^2 2s^2 2p^6;Noble gas;2D;-128,547098079;0,7926;2;1;2;0;2;[2, 1, 2, 1, 1, 2, 1, 1];[29.214419, 16.354484, 13.516489, 9.144899, 6.491668, 3.574219, 2.016153, 1.304155];[-0.000237870721, 0.006515706146, 0.018554481938, -0.147768488127, -0.655151261911, 0.177935360468, 1.528642531452, 0.018051587596]
Neon;Ne;Noble gas;sp3;10;0;10;1s^2 2s^2 2p^6;Noble gas;2D;-128,547098079;0,7926;2;1;2;1;6;[3, 2, 3, 2, 2, 2, 2];[25.731219, 10.674843, 8.124569, 4.295590, 2.648660, 1.710436, 1.304155];[0.000100184130, 0.049733949840, 0.083494777066, 0.686314202765, 0.969627820242, 0.784798877262, 0.125025140808]
Sodium;Na;Alkali metal;Likely without hybridisation;11;0;11;1s^2 2s^2 2p^6 3s^1;Half orbital;2P;-161,85891151;0,189;3;0;1;0;2;[2, 1, 2, 1, 1, 2, 1, 1, 2, 1];[33.255324, 17.591424, 14.711825, 9.845052, 6.517050, 5.163833, 2.473455, 1.097424, 0.620107, 0.603494];[0.000636537524, 0.243413306985, 0.163184830170, 1.017480271923, 0.018426212768, 0.002995728589, 0.001560443245, -0.000081317280, -0.000023617366, 0.000056568542]
Sodium;Na;Alkali metal;Likely without hybridisation;11;0;11;1s^2 2s^2 2p^6 3s^1;Half orbital;2P;-161,85891151;0,189;3;0;2;0;2;[2, 1, 2, 1, 1, 2, 1, 1, 2, 1];[33.255324, 17.591424, 14.711825, 9.845052, 6.517050, 5.163833, 2.473455, 1.097424, 0.620107, 0.603494];[-0.000152310801, 0.036901215904, 0.045940868995, -0.335289670963, -0.714011254641, -0.034808745517, 1.894569583609, 0.007705766859, 0.001538947199, -0.003204183668]
Sodium;Na;Alkali metal;Likely without hybridisation;11;0;11;1s^2 2s^2 2p^6 3s^1;Half orbital;2P;-161,85891151;0,189;3;0;3;0;1;[2, 1, 2, 1, 1, 2, 1, 1, 2, 1];[33.255324, 17.591424, 14.711825, 9.845052, 6.517050, 5.163833, 2.473455, 1.097424, 0.620107, 0.603494];[0.000017900000, -0.002465600000, -0.003530900000, 0.026924600000, 0.083311000000, -0.007746000000, -0.126339000000, -0.358587400000, 0.897983100000, 0.336626300000]
Sodium;Na;Alkali metal;Likely without hybridisation;11;0;11;1s^2 2s^2 2p^6 3s^1;Half orbital;2P;-161,85891151;0,189;3;0;2;1;6;[3, 2, 3, 2, 2, 2, 2];[28.733630, 11.509522, 8.818515, 4.565004, 2.734448, 1.904519, 0.603494];[0.000099449284, 0.064144297996, 0.114935202660, 0.819186283965, 1.198458417166, 0.456714955960, 0.001555425987]
Magnesium;Mg;Alkaline earth metal;Likely without hybridisation;12;0;12;1s^2 2s^2 2p^6 3s^2;Full orbital;3P;-199,61463627;0,2809;3;0;1;0;2;[2, 1, 2, 1, 1, 2, 1, 1, 2, 1];[35.988252, 19.193253, 16.093419, 10.773377, 7.853579, 6.023976, 2.905152, 1.694174, 0.750076, 0.711410];[-0.000616597113, -0.244640702936, -0.165343910016, -1.010365080648, -0.020977736877, -0.004060631402, -0.001657034031, 0.000088529769, 0.000010748023, -0.000024465895]
Magnesium;Mg;Alkaline earth metal;Likely without hybridisation;12;0;12;1s^2 2s^2 2p^6 3s^2;Full orbital;3P;-199,61463627;0,2809;3;0;2;0;2;[2, 1, 2, 1, 1, 2, 1, 1, 2, 1];[35.988252, 19.193253, 16.093419, 10.773377, 7.853579, 6.023976, 2.905152, 1.694174, 0.750076, 0.711410];[0.000184413449, -0.013365025271, -0.023633347105, 0.179160635099, 0.884304205018, 0.210196965939, -2.083040410853, -0.007577214846, -0.000208172236, 0.000509258304]
Magnesium;Mg;Alkaline earth metal;Likely without hybridisation;12;0;12;1s^2 2s^2 2p^6 3s^2;Full orbital;3P;-199,61463627;0,2809;3;0;3;0;2;[2, 1, 2, 1, 1, 2, 1, 1, 2, 1];[35.988252, 19.193253, 16.093419, 10.773377, 7.853579, 6.023976, 2.905152, 1.694174, 0.750076, 0.711410];[0.000043274935, 0.001010172748, -0.001351705323, 0.011562468665, 0.179206455618, 0.005941535440, -0.078988777206, -0.883124892328, 0.762336063438, 1.106433032204]
Magnesium;Mg;Alkaline earth metal;Likely without hybridisation;12;0;12;1s^2 2s^2 2p^6 3s^2;Full orbital;3P;-199,61463627;0,2809;3;0;2;1;6;[3, 2, 3, 2, 2, 2, 2];[32.077221, 12.495413, 9.644163, 5.042248, 3.070882, 2.086080, 0.711410];[0.000087201835, 0.070116398938, 0.125709773191, 0.829663241492, 1.377826222765, 0.222868048992, 0.001643852566]
Aluminum;Al;Post-transitional metal;sp;13;0;13;1s^2 2s^2 2p^6 3s^2 3p^1;No special;1D;-241,876707201;0,2199;3;1;1;0;2;[1, 1, 1, 2, 1, 2, 1, 1, 2, 1];[39.496080, 28.634791, 13.079059, 11.239687, 5.819769, 4.390969, 3.270281, 1.825554, 0.707141, 0.647998];[0.002401900314, -0.015037898494, -1.318724165585, -0.100709259046, -0.006700119594, -0.005362273564, 0.005996831190, -0.000480832611, -0.000061942554, 0.000121339524]
Aluminum;Al;Post-transitional metal;sp;13;0;13;1s^2 2s^2 2p^6 3s^2 3p^1;No special;1D;-241,876707201;0,2199;3;1;2;0;2;[1, 1, 1, 2, 1, 2, 1, 1, 2, 1];[39.496080, 28.634791, 13.079059, 11.239687, 5.819769, 4.390969, 3.270281, 1.825554, 0.707141, 0.647998];[-0.000969726240, 0.004380950774, 0.410681678816, 0.252873547189, 0.571245829834, -0.197744249836, -1.893371744722, -0.002874813330, 0.000270963319, -0.000727047192]
Aluminum;Al;Post-transitional metal;sp;13;0;13;1s^2 2s^2 2p^6 3s^2 3p^1;No special;1D;-241,876707201;0,2199;3;1;3;0;2;[1, 1, 1, 2, 1, 2, 1, 1, 2, 1];[39.496080, 28.634791, 13.079059, 11.239687, 5.819769, 4.390969, 3.270281, 1.825554, 0.707141, 0.647998];[-0.000252578542, 0.001128118159, 0.083976425598, 0.053193804671, 0.584321507010, 0.507746226670, -1.205845740256, -1.166105349204, -0.959690697438, 3.011017510576]
Aluminum;Al;Post-transitional metal;sp;13;0;13;1s^2 2s^2 2p^6 3s^2 3p^1;No special;1D;-241,876707201;0,2199;3;1;2;1;6;[2, 2, 2, 2, 2, 2, 2, 2, 2, 3];[32.912282, 19.759796, 11.877702, 7.686895, 5.052741, 3.511684, 2.582466, 1.012303, 0.703112, 0.647998];[-0.000226332852, 0.004437005720, 0.008629062466, 0.358202847179, 0.743373841579, 1.232983240243, 0.243866054863, 0.005762669569, -0.002133750515, 0.000654258710]
Aluminum;Al;Post-transitional metal;sp;13;0;13;1s^2 2s^2 2p^6 3s^2 3p^1;No special;1D;-241,876707201;0,2199;3;1;3;1;1;[2, 2, 2, 2, 2, 2, 2, 2, 2, 3];[32.912282, 19.759796, 11.877702, 7.686895, 5.052741, 3.511684, 2.582466, 1.012303, 0.703112, 0.647998];[0.000018000000, -0.000353200000, -0.000207100000, -0.025971600000, -0.068462100000, -0.022462400000, -0.169449400000, 0.315056500000, 0.745195000000, 0.023087500000]
Silicon;Si;Metaloid;sp;14;0;14;1s^2 2s^2 2p^6 3s^2 3p^2;No special;1S;-288,854362454;0,2996;3;1;1;0;2;[1, 1, 1, 2, 1, 2, 1, 1, 1, 1];[40.744005, 32.345799, 14.154495, 12.216360, 6.257945, 4.879641, 3.586780, 2.070236, 0.975003, 0.770863];[0.003865045666, -0.014337014253, -1.316826149563, -0.105391013045, -0.006041237496, -0.004879461054, 0.005357323817, -0.000500207337, 0.000166877200, -0.000077923167]
Silicon;Si;Metaloid;sp;14;0;14;1s^2 2s^2 2p^6 3s^2 3p^2;No special;1S;-288,854362454;0,2996;3;1;2;0;2;[1, 1, 1, 2, 1, 2, 1, 1, 1, 1];[40.744005, 32.345799, 14.154495, 12.216360, 6.257945, 4.879641, 3.586780, 2.070236, 0.975003, 0.770863];[0.001539230041, -0.004533261574, -0.412557208843, -0.250935508923, -0.464225642765, 0.453062265168, 1.553262433938, 0.001855589615, 0.001817971534, -0.000427799603]
Silicon;Si;Metaloid;sp;14;0;14;1s^2 2s^2 2p^6 3s^2 3p^2;No special;1S;-288,854362454;0,2996;3;1;3;0;2;[1, 1, 1, 2, 1, 2, 1, 1, 1, 1];[40.744005, 32.345799, 14.154495, 12.216360, 6.257945, 4.879641, 3.586780, 2.070236, 0.975003, 0.770863];[-0.000458346616, 0.001337563187, 0.093198370817, 0.058956300674, 0.886150177981, 0.752832124035, -1.893167673705, -1.154623066448, 2.351685550533, -0.046355657833]
Silicon;Si;Metaloid;sp;14;0;14;1s^2 2s^2 2p^6 3s^2 3p^2;No special;1S;-288,854362454;0,2996;3;1;2;1;6;[2, 2, 2, 2, 2, 2, 2, 2, 2, 3];[35.986281, 20.811651, 11.079502, 8.569582, 5.733707, 4.091940, 3.057286, 1.252393, 0.870155, 0.770863];[-0.000188855659, 0.004895550200, 0.006683677712, 0.324519668777, 0.657989773074, 1.277649930652, 0.302952646438, 0.006568061796, -0.001927258530, 0.000595960854]
Silicon;Si;Metaloid;sp;14;0;14;1s^2 2s^2 2p^6 3s^2 3p^2;No special;1S;-288,854362454;0,2996;3;1;3;1;2;[2, 2, 2, 2, 2, 2, 2, 2, 2, 3];[35.986281, 20.811651, 11.079502, 8.569582, 5.733707, 4.091940, 3.057286, 1.252393, 0.870155, 0.770863];[0.000026304372, -0.000653083823, 0.001421143209, -0.042156857766, -0.103539807492, -0.035804917551, -0.307931143914, 0.559718292244, 0.975687149885, 0.033224260642]
Phosphorus;P;Non metal;sp2;15;0;15;1s^2 2s^2 2p^6 3s^2 3p^3;Half orbital;2P;-340,718780875;0,3879;3;1;1;0;2;[2, 1, 2, 2, 1, 2, 2, 1, 1, 1];[46.439666, 23.444385, 19.934302, 12.335517, 11.479363, 6.165177, 4.690649, 2.631803, 1.110511, 0.885109];[-0.000431759401, -0.291333367860, -0.190725225084, 0.273288427069, -1.200772673365, -0.003256085306, 0.000583504516, -0.000241689098, 0.000111440029, -0.000049780317]
Phosphorus;P;Non metal;sp2;15;0;15;1s^2 2s^2 2p^6 3s^2 3p^3;Half orbital;2P;-340,718780875;0,3879;3;1;2;0;2;[2, 1, 2, 2, 1, 2, 2, 1, 1, 1];[46.439666, 23.444385, 19.934302, 12.335517, 11.479363, 6.165177, 4.690649, 2.631803, 1.110511, 0.885109];[-0.000117662568, 0.060672873096, 0.061452811875, 0.117759017754, -0.738513635980, 0.622033350128, 0.905027383454, 0.040884206981, 0.001545735424, -0.000107055967]
Phosphorus;P;Non metal;sp2;15;0;15;1s^2 2s^2 2p^6 3s^2 3p^3;Half orbital;2P;-340,718780875;0,3879;3;1;3;0;2;[2, 1, 2, 2, 1, 2, 2, 1, 1, 1];[46.439666, 23.444385, 19.934302, 12.335517, 11.479363, 6.165177, 4.690649, 2.631803, 1.110511, 0.885109];[0.000072973420, 0.032656029633, 0.023903179053, 0.089108465194, 0.157628385083, 0.160750968629, -0.274125075812, -1.541278529632, 2.358650410906, -0.081538887102]
Phosphorus;P;Non metal;sp2;15;0;15;1s^2 2s^2 2p^6 3s^2 3p^3;Half orbital;2P;-340,718780875;0,3879;3;1;2;1;6;[2, 3, 2, 3, 2, 3, 2, 2, 2, 2];[37.277335, 18.380101, 10.933923, 9.369244, 5.290342, 3.672062, 3.427525, 1.537478, 1.075424, 0.885109];[-0.000203307649, -0.009168440107, 0.302663116751, 0.194291566806, 1.257485731090, -0.342896230725, 1.146677428748, 0.005185814734, -0.001462835274, 0.000608698201]
Phosphorus;P;Non metal;sp2;15;0;15;1s^2 2s^2 2p^6 3s^2 3p^3;Half orbital;2P;-340,718780875;0,3879;3;1;3;1;3;[2, 3, 2, 3, 2, 3, 2, 2, 2, 2];[37.277335, 18.380101, 10.933923, 9.369244, 5.290342, 3.672062, 3.427525, 1.537478, 1.075424, 0.885109];[0.000040356784, 0.001673507490, -0.055041110563, -0.044807288366, -0.159046258225, 0.000227764681, -0.428925754807, 0.666485702934, 1.009780597865, 0.286715203636]
Sulfur;S;Non metal;sp2;16;0;16;1s^2 2s^2 2p^6 3s^2 3p^4;No special;1S;-397,504895877;0,3809;3;1;1;0;2;[2, 1, 2, 2, 1, 2, 2, 1, 1, 1];[48.422248, 25.147985, 21.424545, 12.574205, 11.445276, 6.468338, 5.067763, 2.950475, 1.274078, 0.935274];[-0.000468246111, -0.309146519049, -0.206329657531, 0.383624096413, -1.266108208576, -0.000861538902, -0.000659872048, 0.000326966176, 0.000023617366, 0.000003111270]
Sulfur;S;Non metal;sp2;16;0;16;1s^2 2s^2 2p^6 3s^2 3p^4;No special;1S;-397,504895877;0,3809;3;1;2;0;2;[2, 1, 2, 2, 1, 2, 2, 1, 1, 1];[48.422248, 25.147985, 21.424545, 12.574205, 11.445276, 6.468338, 5.067763, 2.950475, 1.274078, 0.935274];[-0.000136330187, 0.048110272600, 0.050030916039, 0.185764022486, -0.790443416569, 0.733180070951, 0.796726484584, 0.044709513246, 0.002664095509, -0.000208455079]
Sulfur;S;Non metal;sp2;16;0;16;1s^2 2s^2 2p^6 3s^2 3p^4;No special;1S;-397,504895877;0,3809;3;1;3;0;2;[2, 1, 2, 2, 1, 2, 2, 1, 1, 1];[48.422248, 25.147985, 21.424545, 12.574205, 11.445276, 6.468338, 5.067763, 2.950475, 1.274078, 0.935274];[0.000053174430, 0.004893320347, 0.001050902098, 0.025258419909, 0.283083977308, 0.206780791657, -0.404706343672, -1.550860675045, 2.312851811795, 0.012772752631]
Sulfur;S;Non metal;sp2;16;0;16;1s^2 2s^2 2p^6 3s^2 3p^4;No special;1S;-397,504895877;0,3809;3;1;2;1;6;[2, 3, 2, 3, 2, 3, 2, 2, 2, 2];[40.400452, 19.793965, 11.660972, 10.088606, 5.687485, 3.866997, 3.641627, 1.835517, 1.197266, 0.935274];[-0.000189345557, -0.008535002060, 0.301153496222, 0.174893812584, 1.447271461513, -0.274868756639, 0.902144867726, 0.006243259456, 0.000341458870, 0.000646420343]
Sulfur;S;Non metal;sp2;16;0;16;1s^2 2s^2 2p^6 3s^2 3p^4;No special;1S;-397,504895877;0,3809;3;1;3;1;4;[2, 3, 2, 3, 2, 3, 2, 2, 2, 2];[40.400452, 19.793965, 11.660972, 10.088606, 5.687485, 3.866997, 3.641627, 1.835517, 1.197266, 0.935274];[0.000046600000, 0.001942800000, -0.070594400000, -0.055790200000, -0.154138600000, 0.167811400000, -0.720403600000, 0.804996800000, 1.186517000000, 0.317226200000]
Chlorine;Cl;Non metal;sp3;17;0;17;1s^2 2s^2 2p^6 3s^2 3p^5;No special;2S;-459,482072328;0,4783;3;1;1;0;2;[2, 1, 2, 2, 1, 2, 2, 1, 1, 1];[52.549831, 26.643633, 22.754804, 14.248239, 13.203531, 6.587648, 5.115487, 3.103725, 1.427728, 1.006380];[-0.000356947503, -0.256625738613, -0.163396820783, 0.292531772433, -1.276002470922, -0.002493399932, 0.000592696904, -0.000035921024, 0.000074953319, -0.000011455130]
Chlorine;Cl;Non metal;sp3;17;0;17;1s^2 2s^2 2p^6 3s^2 3p^5;No special;2S;-459,482072328;0,4783;3;1;2;0;2;[2, 1, 2, 2, 1, 2, 2, 1, 1, 1];[52.549831, 26.643633, 22.754804, 14.248239, 13.203531, 6.587648, 5.115487, 3.103725, 1.427728, 1.006380];[-0.000102106219, 0.063058792797, 0.060351988038, 0.107365679442, -0.746356440133, 1.091349596033, 0.464331425940, 0.013724094095, 0.004665066278, -0.000576857712]
Chlorine;Cl;Non metal;sp3;17;0;17;1s^2 2s^2 2p^6 3s^2 3p^5;No special;2S;-459,482072328;0,4783;3;1;3;0;2;[2, 1, 2, 2, 1, 2, 2, 1, 1, 1];[52.549831, 26.643633, 22.754804, 14.248239, 13.203531, 6.587648, 5.115487, 3.103725, 1.427728, 1.006380];[0.000056851385, 0.005314190303, 0.000948795879, 0.032135457621, 0.210240240874, 0.064378961157, -0.634931119239, -1.216737447428, 2.333100804424, 0.039029748737]
Chlorine;Cl;Non metal;sp3;17;0;17;1s^2 2s^2 2p^6 3s^2 3p^5;No special;2S;-459,482072328;0,4783;3;1;2;1;6;[2, 3, 2, 3, 2, 3, 2, 2, 2, 2];[44.251905, 21.017294, 12.370142, 10.884681, 6.217866, 4.148675, 3.863174, 2.015464, 1.296207, 1.006380];[-0.000151378466, -0.008041674826, 0.290437958394, 0.140148045531, 1.502365874706, -0.333690558374, 0.935342067363, 0.005383243608, 0.002001967967, 0.000571955855]
Chlorine;Cl;Non metal;sp3;17;0;17;1s^2 2s^2 2p^6 3s^2 3p^5;No special;2S;-459,482072328;0,4783;3;1;3;1;5;[2, 3, 2, 3, 2, 3, 2, 2, 2, 2];[44.251905, 21.017294, 12.370142, 10.884681, 6.217866, 4.148675, 3.863174, 2.015464, 1.296207, 1.006380];[0.000044274146, 0.002184191200, -0.082651557046, -0.058732337890, -0.158309587885, 0.374691202786, -1.013892924013, 1.027124409057, 1.269416908861, 0.289142819675]
Argon;Ar;Noble gas;sp3;18;0;18;1s^2 2s^2 2p^6 3s^2 3p^6;Noble gas;1S;-526,817512711;0,5794;3;1;1;0;2;[2, 1, 2, 2, 1, 2, 2, 1, 1, 1];[56.024242, 28.780167, 24.513979, 15.086379, 14.036870, 6.944507, 5.309126, 3.317218, 1.567689, 1.087214];[-0.000384100404, -0.241859369122, -0.161376758131, 0.292352167311, -1.291566598283, -0.003351120457, 0.002055559413, -0.001124724046, 0.000263467987, -0.000074670476]
Argon;Ar;Noble gas;sp3;18;0;18;1s^2 2s^2 2p^6 3s^2 3p^6;Noble gas;1S;-526,817512711;0,5794;3;1;2;0;2;[2, 1, 2, 2, 1, 2, 2, 1, 1, 1];[56.024242, 28.780167, 24.513979, 15.086379, 14.036870, 6.944507, 5.309126, 3.317218, 1.567689, 1.087214];[-0.000102671905, 0.039487671089, 0.040545785676, 0.071383702353, -0.685887496633, 1.230104169756, 0.332764026962, 0.012507163324, 0.005020316725, -0.000438123362]
Argon;Ar;Noble gas;sp3;18;0;18;1s^2 2s^2 2p^6 3s^2 3p^6;Noble gas;1S;-526,817512711;0,5794;3;1;3;0;2;[2, 1, 2, 2, 1, 2, 2, 1, 1, 1];[56.024242, 28.780167, 24.513979, 15.086379, 14.036870, 6.944507, 5.309126, 3.317218, 1.567689, 1.087214];[0.000050770267, -0.015878789878, -0.016281840744, -0.013142852321, 0.247783085471, -0.079406677314, -0.749646890828, -0.974239985146, 2.343829169930, 0.040777575279]
Argon;Ar;Noble gas;sp3;18;0;18;1s^2 2s^2 2p^6 3s^2 3p^6;Noble gas;1S;-526,817512711;0,5794;3;1;2;1;6;[2, 3, 2, 3, 2, 3, 2, 2, 2, 2];[47.041050, 22.401098, 13.130477, 11.806433, 6.780130, 4.415953, 4.077204, 2.200943, 1.412360, 1.087214];[-0.000150153721, -0.007671067027, 0.272563541843, 0.104112132231, 1.552785436725, -0.395750340599, 0.987804748776, 0.002915627641, -0.000220454077, 0.000101408875]
