EntropicMoment - momento q=2.750
---------------------------------------------------------------------
Z  | Q | q         | EntropicMoment | integration_error | space   
---------------------------------------------------------------------
1  | 0 | 2.750e+00 | 1.027e-01      | 2.969e-11         | momentum
2  | 0 | 2.750e+00 | 9.493e-03      | 4.614e-12         | momentum
3  | 0 | 2.750e+00 | 4.023e-01      | 6.904e-12         | momentum
4  | 0 | 2.750e+00 | 1.787e-01      | 1.070e-11         | momentum
5  | 0 | 2.750e+00 | 3.205e-02      | 4.737e-11         | momentum
6  | 0 | 2.750e+00 | 8.737e-03      | 3.220e-11         | momentum
7  | 0 | 2.750e+00 | 3.081e-03      | 2.195e-11         | momentum
8  | 0 | 2.750e+00 | 1.405e-03      | 2.602e-11         | momentum
9  | 0 | 2.750e+00 | 7.012e-04      | 4.600e-11         | momentum
10 | 0 | 2.750e+00 | 3.762e-04      | 1.120e-11         | momentum
11 | 0 | 2.750e+00 | 1.658e-02      | 2.766e-11         | momentum
12 | 0 | 2.750e+00 | 2.210e-02      | 1.324e-10         | momentum
13 | 0 | 2.750e+00 | 9.601e-03      | 1.146e-10         | momentum
14 | 0 | 2.750e+00 | 4.839e-03      | 8.486e-12         | momentum
15 | 0 | 2.750e+00 | 2.713e-03      | 7.399e-14         | momentum
16 | 0 | 2.750e+00 | 1.777e-03      | 4.751e-11         | momentum
17 | 0 | 2.750e+00 | 1.183e-03      | 9.268e-11         | momentum
18 | 0 | 2.750e+00 | 8.047e-04      | 3.661e-11         | momentum
19 | 0 | 2.750e+00 | 1.073e-02      | 1.306e-10         | momentum
20 | 0 | 2.750e+00 | 1.799e-02      | 4.996e-11         | momentum
21 | 0 | 2.750e+00 | 1.158e-02      | 2.433e-11         | momentum
22 | 0 | 2.750e+00 | 8.160e-03      | 4.160e-11         | momentum
23 | 0 | 2.750e+00 | 5.942e-03      | 1.217e-11         | momentum
24 | 0 | 2.750e+00 | 1.022e-03      | 7.263e-11         | momentum
25 | 0 | 2.750e+00 | 3.405e-03      | 1.248e-11         | momentum
26 | 0 | 2.750e+00 | 2.560e-03      | 8.197e-12         | momentum
27 | 0 | 2.750e+00 | 1.977e-03      | 1.227e-10         | momentum
28 | 0 | 2.750e+00 | 1.550e-03      | 5.857e-11         | momentum
29 | 0 | 2.750e+00 | 3.815e-04      | 1.145e-10         | momentum
30 | 0 | 2.750e+00 | 9.937e-04      | 5.010e-11         | momentum
31 | 0 | 2.750e+00 | 7.394e-04      | 7.240e-11         | momentum
32 | 0 | 2.750e+00 | 5.426e-04      | 1.033e-10         | momentum
33 | 0 | 2.750e+00 | 4.123e-04      | 8.933e-11         | momentum
34 | 0 | 2.750e+00 | 3.501e-04      | 3.979e-11         | momentum
35 | 0 | 2.750e+00 | 2.917e-04      | 5.340e-11         | momentum
36 | 0 | 2.750e+00 | 2.419e-04      | 3.955e-11         | momentum
37 | 0 | 2.750e+00 | 2.484e-03      | 1.079e-10         | momentum
38 | 0 | 2.750e+00 | 4.768e-03      | 8.596e-12         | momentum
39 | 0 | 2.750e+00 | 3.071e-03      | 6.642e-11         | momentum
40 | 0 | 2.750e+00 | 2.255e-03      | 5.758e-11         | momentum
41 | 0 | 2.750e+00 | 3.830e-04      | 3.804e-11         | momentum
42 | 0 | 2.750e+00 | 3.012e-04      | 4.625e-11         | momentum
43 | 0 | 2.750e+00 | 1.126e-03      | 1.023e-10         | momentum
44 | 0 | 2.750e+00 | 2.304e-04      | 9.186e-11         | momentum
45 | 0 | 2.750e+00 | 2.066e-04      | 5.620e-11         | momentum
46 | 0 | 2.750e+00 | 3.734e-05      | 1.085e-11         | momentum
47 | 0 | 2.750e+00 | 1.707e-04      | 4.226e-11         | momentum
48 | 0 | 2.750e+00 | 4.543e-04      | 1.314e-10         | momentum
49 | 0 | 2.750e+00 | 3.728e-04      | 2.298e-11         | momentum
50 | 0 | 2.750e+00 | 3.052e-04      | 8.805e-11         | momentum

