EntropicMoment - posicion (2e) q=1.750
---------------------------------------------------------------------
Z  | Q | q         | EntropicMoment | integration_error | space   
---------------------------------------------------------------------
2  | 0 | 1.750e+00 | 6.361e-02      | 7.340e-07         | position
3  | 0 | 1.750e+00 | 8.084e-02      | 1.087e-06         | position
4  | 0 | 1.750e+00 | 1.128e-01      | 1.244e-06         | position
5  | 0 | 1.750e+00 | 1.531e-01      | 1.454e-06         | position
6  | 0 | 1.750e+00 | 2.070e-01      | 1.275e-06         | position
7  | 0 | 1.750e+00 | 2.775e-01      | 1.459e-06         | position
8  | 0 | 1.750e+00 | 3.643e-01      | 1.242e-06         | position
9  | 0 | 1.750e+00 | 4.739e-01      | 1.401e-06         | position
10 | 0 | 1.750e+00 | 6.102e-01      | 3.460e-06         | position
11 | 0 | 1.750e+00 | 7.445e-01      | 1.732e-06         | position
12 | 0 | 1.750e+00 | 8.886e-01      | 1.578e-06         | position
13 | 0 | 1.750e+00 | 1.041e+00      | 1.452e-06         | position
14 | 0 | 1.750e+00 | 1.203e+00      | 1.481e-06         | position
15 | 0 | 1.750e+00 | 1.375e+00      | 1.377e-06         | position
16 | 0 | 1.750e+00 | 1.557e+00      | 9.916e-07         | position
17 | 0 | 1.750e+00 | 1.751e+00      | 1.132e-06         | position
18 | 0 | 1.750e+00 | 1.956e+00      | 3.552e-06         | position
19 | 0 | 1.750e+00 | 2.165e+00      | 2.648e-05         | position
20 | 0 | 1.750e+00 | 2.381e+00      | 1.702e-05         | position
21 | 0 | 1.750e+00 | 2.600e+00      | 1.834e-05         | position
22 | 0 | 1.750e+00 | 2.828e+00      | 2.662e-05         | position
23 | 0 | 1.750e+00 | 3.065e+00      | 3.224e-05         | position
24 | 0 | 1.750e+00 | 3.312e+00      | 5.279e-05         | position
25 | 0 | 1.750e+00 | 3.571e+00      | 2.250e-05         | position
26 | 0 | 1.750e+00 | 3.840e+00      | 3.454e-05         | position
27 | 0 | 1.750e+00 | 4.120e+00      | 5.485e-05         | position
28 | 0 | 1.750e+00 | 4.413e+00      | 3.234e-05         | position
29 | 0 | 1.750e+00 | 4.721e+00      | 2.067e-05         | position
30 | 0 | 1.750e+00 | 5.039e+00      | 5.014e-06         | position
31 | 0 | 1.750e+00 | 5.366e+00      | 2.224e-05         | position
32 | 0 | 1.750e+00 | 5.703e+00      | 2.448e-05         | position
33 | 0 | 1.750e+00 | 6.049e+00      | 4.182e-05         | position
34 | 0 | 1.750e+00 | 6.404e+00      | 6.358e-05         | position
35 | 0 | 1.750e+00 | 6.768e+00      | 1.042e-04         | position
36 | 0 | 1.750e+00 | 7.143e+00      | 1.726e-04         | position
37 | 0 | 1.750e+00 | 7.523e+00      | 1.418e-06         | position
38 | 0 | 1.750e+00 | 7.910e+00      | 1.038e-04         | position
39 | 0 | 1.750e+00 | 8.302e+00      | 1.038e-05         | position
40 | 0 | 1.750e+00 | 8.702e+00      | 1.262e-05         | position
41 | 0 | 1.750e+00 | 9.108e+00      | 2.191e-05         | position
42 | 0 | 1.750e+00 | 9.524e+00      | 1.448e-04         | position
43 | 0 | 1.750e+00 | 9.948e+00      | 2.340e-05         | position
44 | 0 | 1.750e+00 | 1.038e+01      | 1.022e-05         | position
45 | 0 | 1.750e+00 | 1.082e+01      | 4.509e-05         | position
46 | 0 | 1.750e+00 | 1.127e+01      | 2.465e-05         | position
47 | 0 | 1.750e+00 | 1.172e+01      | 8.265e-05         | position
48 | 0 | 1.750e+00 | 1.219e+01      | 1.760e-04         | position
49 | 0 | 1.750e+00 | 1.266e+01      | 8.257e-05         | position
50 | 0 | 1.750e+00 | 1.314e+01      | 1.839e-04         | position

