Renyi - momento (2e) alpha=1.200
----------------------------------------------------------------------------------------
Z  | Q | alpha     | RenyiEntropy | integration_error | space    | TwoElectronDensity
----------------------------------------------------------------------------------------
2  | 0 | 1.200e+00 | -7.199e+00   | 1.432e-06         | momentum | True              
3  | 0 | 1.200e+00 | -6.792e+00   | 1.363e-06         | momentum | True              
4  | 0 | 1.200e+00 | -6.934e+00   | 1.392e-06         | momentum | True              
5  | 0 | 1.200e+00 | -8.030e+00   | 1.469e-06         | momentum | True              
6  | 0 | 1.200e+00 | -9.010e+00   | 1.485e-06         | momentum | True              
7  | 0 | 1.200e+00 | -9.867e+00   | 1.361e-06         | momentum | True              
8  | 0 | 1.200e+00 | -1.054e+01   | 1.461e-06         | momentum | True              
9  | 0 | 1.200e+00 | -1.118e+01   | 1.325e-06         | momentum | True              
10 | 0 | 1.200e+00 | -1.177e+01   | 1.463e-06         | momentum | True              
11 | 0 | 1.200e+00 | -1.151e+01   | 1.485e-06         | momentum | True              
12 | 0 | 1.200e+00 | -1.133e+01   | 1.486e-06         | momentum | True              
13 | 0 | 1.200e+00 | -1.150e+01   | 1.406e-06         | momentum | True              
14 | 0 | 1.200e+00 | -1.172e+01   | 1.451e-06         | momentum | True              
15 | 0 | 1.200e+00 | -1.196e+01   | 1.471e-06         | momentum | True              
16 | 0 | 1.200e+00 | -1.215e+01   | 1.433e-06         | momentum | True              
17 | 0 | 1.200e+00 | -1.237e+01   | 1.308e-06         | momentum | True              
18 | 0 | 1.200e+00 | -1.259e+01   | 1.489e-06         | momentum | True              
19 | 0 | 1.200e+00 | -1.241e+01   | 1.426e-06         | momentum | True              
20 | 0 | 1.200e+00 | -1.225e+01   | 1.476e-06         | momentum | True              
21 | 0 | 1.200e+00 | -1.256e+01   | 1.327e-06         | momentum | True              
22 | 0 | 1.200e+00 | -1.287e+01   | 1.455e-06         | momentum | True              
23 | 0 | 1.200e+00 | -1.317e+01   | 1.489e-06         | momentum | True              
24 | 0 | 1.200e+00 | -1.384e+01   | 1.429e-06         | momentum | True              
25 | 0 | 1.200e+00 | -1.372e+01   | 1.450e-06         | momentum | True              
26 | 0 | 1.200e+00 | -1.398e+01   | 1.470e-06         | momentum | True              
27 | 0 | 1.200e+00 | -1.422e+01   | 1.483e-06         | momentum | True              
28 | 0 | 1.200e+00 | -1.446e+01   | 1.453e-06         | momentum | True              
29 | 0 | 1.200e+00 | -1.499e+01   | 1.482e-06         | momentum | True              
30 | 0 | 1.200e+00 | -1.491e+01   | 1.428e-06         | momentum | True              
31 | 0 | 1.200e+00 | -1.495e+01   | 1.425e-06         | momentum | True              
32 | 0 | 1.200e+00 | -1.501e+01   | 1.258e-06         | momentum | True              
33 | 0 | 1.200e+00 | -1.508e+01   | 1.458e-06         | momentum | True              
34 | 0 | 1.200e+00 | -1.513e+01   | 1.459e-06         | momentum | True              
35 | 0 | 1.200e+00 | -1.519e+01   | 1.364e-06         | momentum | True              
36 | 0 | 1.200e+00 | -1.525e+01   | 1.295e-06         | momentum | True              
37 | 0 | 1.200e+00 | -1.510e+01   | 1.397e-06         | momentum | True              
38 | 0 | 1.200e+00 | -1.495e+01   | 1.406e-06         | momentum | True              
39 | 0 | 1.200e+00 | -1.507e+01   | 1.378e-06         | momentum | True              
40 | 0 | 1.200e+00 | -1.520e+01   | 1.470e-06         | momentum | True              
41 | 0 | 1.200e+00 | -1.555e+01   | 1.416e-06         | momentum | True              
42 | 0 | 1.200e+00 | -1.566e+01   | 1.486e-06         | momentum | True              
43 | 0 | 1.200e+00 | -1.556e+01   | 1.455e-06         | momentum | True              
44 | 0 | 1.200e+00 | -1.587e+01   | 1.484e-06         | momentum | True              
45 | 0 | 1.200e+00 | -1.598e+01   | 1.484e-06         | momentum | True              
46 | 0 | 1.200e+00 | -1.620e+01   | 1.483e-06         | momentum | True              
47 | 0 | 1.200e+00 | -1.619e+01   | 1.474e-06         | momentum | True              
48 | 0 | 1.200e+00 | -1.613e+01   | 1.484e-06         | momentum | True              
49 | 0 | 1.200e+00 | -1.613e+01   | 1.462e-06         | momentum | True              
50 | 0 | 1.200e+00 | -1.616e+01   | 1.418e-06         | momentum | True              

