EntropicMoment - momento q=0.750
---------------------------------------------------------------------
Z  | Q | q         | EntropicMoment | integration_error | space   
---------------------------------------------------------------------
1  | 0 | 7.500e-01 | 2.108e+00      | 6.333e-13         | momentum
2  | 0 | 7.500e-01 | 3.122e+00      | 1.667e-11         | momentum
3  | 0 | 7.500e-01 | 3.661e+00      | 4.190e-10         | momentum
4  | 0 | 7.500e-01 | 4.103e+00      | 1.562e-11         | momentum
5  | 0 | 7.500e-01 | 4.600e+00      | 6.246e-10         | momentum
6  | 0 | 7.500e-01 | 5.071e+00      | 7.263e-12         | momentum
7  | 0 | 7.500e-01 | 5.519e+00      | 4.449e-12         | momentum
8  | 0 | 7.500e-01 | 5.930e+00      | 1.721e-11         | momentum
9  | 0 | 7.500e-01 | 6.333e+00      | 1.347e-10         | momentum
10 | 0 | 7.500e-01 | 6.727e+00      | 1.447e-10         | momentum
11 | 0 | 7.500e-01 | 7.022e+00      | 1.388e-10         | momentum
12 | 0 | 7.500e-01 | 7.291e+00      | 4.206e-10         | momentum
13 | 0 | 7.500e-01 | 7.568e+00      | 1.849e-11         | momentum
14 | 0 | 7.500e-01 | 7.840e+00      | 2.882e-10         | momentum
15 | 0 | 7.500e-01 | 8.104e+00      | 1.425e-11         | momentum
16 | 0 | 7.500e-01 | 8.354e+00      | 1.871e-11         | momentum
17 | 0 | 7.500e-01 | 8.601e+00      | 8.789e-12         | momentum
18 | 0 | 7.500e-01 | 8.843e+00      | 3.951e-10         | momentum
19 | 0 | 7.500e-01 | 9.048e+00      | 1.561e-10         | momentum
20 | 0 | 7.500e-01 | 9.240e+00      | 1.190e-10         | momentum
21 | 0 | 7.500e-01 | 9.477e+00      | 9.585e-10         | momentum
22 | 0 | 7.500e-01 | 9.716e+00      | 2.321e-11         | momentum
23 | 0 | 7.500e-01 | 9.953e+00      | 2.789e-11         | momentum
24 | 0 | 7.500e-01 | 1.023e+01      | 1.058e-09         | momentum
25 | 0 | 7.500e-01 | 1.042e+01      | 4.787e-11         | momentum
26 | 0 | 7.500e-01 | 1.065e+01      | 9.608e-10         | momentum
27 | 0 | 7.500e-01 | 1.087e+01      | 6.273e-10         | momentum
28 | 0 | 7.500e-01 | 1.109e+01      | 1.530e-09         | momentum
29 | 0 | 7.500e-01 | 1.135e+01      | 7.220e-10         | momentum
30 | 0 | 7.500e-01 | 1.153e+01      | 8.307e-10         | momentum
31 | 0 | 7.500e-01 | 1.172e+01      | 1.200e-10         | momentum
32 | 0 | 7.500e-01 | 1.191e+01      | 1.404e-10         | momentum
33 | 0 | 7.500e-01 | 1.209e+01      | 3.373e-10         | momentum
34 | 0 | 7.500e-01 | 1.226e+01      | 4.888e-10         | momentum
35 | 0 | 7.500e-01 | 1.243e+01      | 5.884e-10         | momentum
36 | 0 | 7.500e-01 | 1.260e+01      | 5.983e-10         | momentum
37 | 0 | 7.500e-01 | 1.275e+01      | 9.172e-10         | momentum
38 | 0 | 7.500e-01 | 1.290e+01      | 1.165e-09         | momentum
39 | 0 | 7.500e-01 | 1.306e+01      | 8.229e-10         | momentum
40 | 0 | 7.500e-01 | 1.323e+01      | 8.948e-10         | momentum
41 | 0 | 7.500e-01 | 1.341e+01      | 1.493e-09         | momentum
42 | 0 | 7.500e-01 | 1.357e+01      | 1.582e-09         | momentum
43 | 0 | 7.500e-01 | 1.371e+01      | 1.518e-09         | momentum
44 | 0 | 7.500e-01 | 1.389e+01      | 7.443e-11         | momentum
45 | 0 | 7.500e-01 | 1.405e+01      | 2.558e-10         | momentum
46 | 0 | 7.500e-01 | 1.422e+01      | 5.392e-11         | momentum
47 | 0 | 7.500e-01 | 1.436e+01      | 6.398e-11         | momentum
48 | 0 | 7.500e-01 | 1.450e+01      | 1.716e-10         | momentum
49 | 0 | 7.500e-01 | 1.464e+01      | 5.132e-11         | momentum
50 | 0 | 7.500e-01 | 1.477e+01      | 5.921e-11         | momentum

