EntropicMoment - momento q=2.250
---------------------------------------------------------------------
Z  | Q | q         | EntropicMoment | integration_error | space   
---------------------------------------------------------------------
1  | 0 | 2.250e+00 | 1.611e-01      | 8.703e-11         | momentum
2  | 0 | 2.250e+00 | 2.887e-02      | 2.282e-11         | momentum
3  | 0 | 2.250e+00 | 3.315e-01      | 1.113e-12         | momentum
4  | 0 | 2.250e+00 | 2.039e-01      | 5.492e-11         | momentum
5  | 0 | 2.250e+00 | 6.202e-02      | 4.671e-11         | momentum
6  | 0 | 2.250e+00 | 2.509e-02      | 8.631e-11         | momentum
7  | 0 | 2.250e+00 | 1.212e-02      | 5.352e-11         | momentum
8  | 0 | 2.250e+00 | 7.014e-03      | 6.674e-12         | momentum
9  | 0 | 2.250e+00 | 4.308e-03      | 2.888e-11         | momentum
10 | 0 | 2.250e+00 | 2.780e-03      | 2.662e-11         | momentum
11 | 0 | 2.250e+00 | 2.457e-02      | 3.535e-11         | momentum
12 | 0 | 2.250e+00 | 3.428e-02      | 1.924e-11         | momentum
13 | 0 | 2.250e+00 | 2.092e-02      | 7.568e-11         | momentum
14 | 0 | 2.250e+00 | 1.366e-02      | 9.467e-11         | momentum
15 | 0 | 2.250e+00 | 9.449e-03      | 8.882e-11         | momentum
16 | 0 | 2.250e+00 | 7.216e-03      | 5.663e-11         | momentum
17 | 0 | 2.250e+00 | 5.536e-03      | 1.426e-10         | momentum
18 | 0 | 2.250e+00 | 4.294e-03      | 1.020e-10         | momentum
19 | 0 | 2.250e+00 | 1.698e-02      | 4.732e-11         | momentum
20 | 0 | 2.250e+00 | 2.667e-02      | 2.935e-11         | momentum
21 | 0 | 2.250e+00 | 1.930e-02      | 8.401e-12         | momentum
22 | 0 | 2.250e+00 | 1.485e-02      | 3.639e-12         | momentum
23 | 0 | 2.250e+00 | 1.170e-02      | 6.690e-11         | momentum
24 | 0 | 2.250e+00 | 3.283e-03      | 4.785e-11         | momentum
25 | 0 | 2.250e+00 | 7.670e-03      | 1.346e-10         | momentum
26 | 0 | 2.250e+00 | 6.201e-03      | 1.432e-10         | momentum
27 | 0 | 2.250e+00 | 5.106e-03      | 8.365e-11         | momentum
28 | 0 | 2.250e+00 | 4.251e-03      | 1.420e-10         | momentum
29 | 0 | 2.250e+00 | 1.496e-03      | 1.127e-10         | momentum
30 | 0 | 2.250e+00 | 3.037e-03      | 6.963e-11         | momentum
31 | 0 | 2.250e+00 | 2.736e-03      | 5.756e-11         | momentum
32 | 0 | 2.250e+00 | 2.356e-03      | 1.134e-10         | momentum
33 | 0 | 2.250e+00 | 2.043e-03      | 4.241e-11         | momentum
34 | 0 | 2.250e+00 | 1.889e-03      | 1.418e-10         | momentum
35 | 0 | 2.250e+00 | 1.712e-03      | 2.215e-11         | momentum
36 | 0 | 2.250e+00 | 1.540e-03      | 3.706e-12         | momentum
37 | 0 | 2.250e+00 | 5.207e-03      | 1.042e-10         | momentum
38 | 0 | 2.250e+00 | 8.821e-03      | 2.714e-13         | momentum
39 | 0 | 2.250e+00 | 6.528e-03      | 1.289e-10         | momentum
40 | 0 | 2.250e+00 | 5.250e-03      | 6.730e-11         | momentum
41 | 0 | 2.250e+00 | 1.666e-03      | 1.241e-10         | momentum
42 | 0 | 2.250e+00 | 1.413e-03      | 7.481e-11         | momentum
43 | 0 | 2.250e+00 | 3.182e-03      | 2.009e-12         | momentum
44 | 0 | 2.250e+00 | 1.142e-03      | 7.251e-11         | momentum
45 | 0 | 2.250e+00 | 1.040e-03      | 8.674e-11         | momentum
46 | 0 | 2.250e+00 | 4.672e-04      | 3.924e-11         | momentum
47 | 0 | 2.250e+00 | 8.767e-04      | 1.106e-10         | momentum
48 | 0 | 2.250e+00 | 1.645e-03      | 7.643e-11         | momentum
49 | 0 | 2.250e+00 | 1.573e-03      | 8.971e-11         | momentum
50 | 0 | 2.250e+00 | 1.458e-03      | 8.902e-11         | momentum

