Renyi - momento (2e) alpha=2.000
----------------------------------------------------------------------------------------
Z  | Q | alpha     | RenyiEntropy | integration_error | space    | TwoElectronDensity
----------------------------------------------------------------------------------------
2  | 0 | 2.000e+00 | -5.902e+00   | 1.409e-06         | momentum | True              
3  | 0 | 2.000e+00 | -4.977e+00   | 1.450e-06         | momentum | True              
4  | 0 | 2.000e+00 | -3.753e+00   | 1.370e-06         | momentum | True              
5  | 0 | 2.000e+00 | -5.272e+00   | 1.450e-06         | momentum | True              
6  | 0 | 2.000e+00 | -6.536e+00   | 1.224e-06         | momentum | True              
7  | 0 | 2.000e+00 | -7.592e+00   | 6.248e-07         | momentum | True              
8  | 0 | 2.000e+00 | -8.389e+00   | 1.656e-08         | momentum | True              
9  | 0 | 2.000e+00 | -9.121e+00   | 5.360e-07         | momentum | True              
10 | 0 | 2.000e+00 | -9.790e+00   | 1.192e-07         | momentum | True              
11 | 0 | 2.000e+00 | -8.214e+00   | 1.473e-06         | momentum | True              
12 | 0 | 2.000e+00 | -7.158e+00   | 8.880e-07         | momentum | True              
13 | 0 | 2.000e+00 | -7.441e+00   | 1.410e-06         | momentum | True              
14 | 0 | 2.000e+00 | -7.866e+00   | 1.413e-06         | momentum | True              
15 | 0 | 2.000e+00 | -8.296e+00   | 1.336e-06         | momentum | True              
16 | 0 | 2.000e+00 | -8.620e+00   | 4.194e-07         | momentum | True              
17 | 0 | 2.000e+00 | -8.966e+00   | 1.476e-06         | momentum | True              
18 | 0 | 2.000e+00 | -9.314e+00   | 1.285e-06         | momentum | True              
19 | 0 | 2.000e+00 | -8.223e+00   | 1.289e-06         | momentum | True              
20 | 0 | 2.000e+00 | -7.485e+00   | 1.369e-06         | momentum | True              
21 | 0 | 2.000e+00 | -7.966e+00   | 1.189e-06         | momentum | True              
22 | 0 | 2.000e+00 | -8.380e+00   | 1.346e-06         | momentum | True              
23 | 0 | 2.000e+00 | -8.760e+00   | 1.432e-06         | momentum | True              
24 | 0 | 2.000e+00 | -1.038e+01   | 5.762e-07         | momentum | True              
25 | 0 | 2.000e+00 | -9.444e+00   | 6.510e-07         | momentum | True              
26 | 0 | 2.000e+00 | -9.774e+00   | 1.427e-06         | momentum | True              
27 | 0 | 2.000e+00 | -1.008e+01   | 1.429e-06         | momentum | True              
28 | 0 | 2.000e+00 | -1.037e+01   | 5.227e-07         | momentum | True              
29 | 0 | 2.000e+00 | -1.171e+01   | 5.871e-07         | momentum | True              
30 | 0 | 2.000e+00 | -1.091e+01   | 1.361e-06         | momentum | True              
31 | 0 | 2.000e+00 | -1.080e+01   | 1.141e-06         | momentum | True              
32 | 0 | 2.000e+00 | -1.086e+01   | 1.426e-06         | momentum | True              
33 | 0 | 2.000e+00 | -1.095e+01   | 3.345e-07         | momentum | True              
34 | 0 | 2.000e+00 | -1.099e+01   | 7.260e-07         | momentum | True              
35 | 0 | 2.000e+00 | -1.107e+01   | 1.397e-06         | momentum | True              
36 | 0 | 2.000e+00 | -1.118e+01   | 1.453e-06         | momentum | True              
37 | 0 | 2.000e+00 | -1.013e+01   | 1.241e-06         | momentum | True              
38 | 0 | 2.000e+00 | -9.372e+00   | 1.451e-06         | momentum | True              
39 | 0 | 2.000e+00 | -9.734e+00   | 1.471e-06         | momentum | True              
40 | 0 | 2.000e+00 | -1.002e+01   | 1.388e-06         | momentum | True              
41 | 0 | 2.000e+00 | -1.130e+01   | 1.451e-06         | momentum | True              
42 | 0 | 2.000e+00 | -1.152e+01   | 1.059e-06         | momentum | True              
43 | 0 | 2.000e+00 | -1.073e+01   | 1.190e-06         | momentum | True              
44 | 0 | 2.000e+00 | -1.185e+01   | 9.393e-07         | momentum | True              
45 | 0 | 2.000e+00 | -1.201e+01   | 1.439e-06         | momentum | True              
46 | 0 | 2.000e+00 | -1.280e+01   | 1.827e-07         | momentum | True              
47 | 0 | 2.000e+00 | -1.230e+01   | 1.888e-07         | momentum | True              
48 | 0 | 2.000e+00 | -1.169e+01   | 1.239e-06         | momentum | True              
49 | 0 | 2.000e+00 | -1.160e+01   | 1.297e-06         | momentum | True              
50 | 0 | 2.000e+00 | -1.160e+01   | 1.328e-06         | momentum | True              

