EntropicMoment - momento (2e) q=1.000
---------------------------------------------------------------------
Z  | Q | q         | EntropicMoment | integration_error | space   
---------------------------------------------------------------------
2  | 0 | 1.000e+00 | 1.000e+00      | 1.151e-06         | momentum
3  | 0 | 1.000e+00 | 1.000e+00      | 1.475e-06         | momentum
4  | 0 | 1.000e+00 | 1.000e+00      | 1.482e-06         | momentum
5  | 0 | 1.000e+00 | 1.000e+00      | 1.471e-06         | momentum
6  | 0 | 1.000e+00 | 1.000e+00      | 1.434e-06         | momentum
7  | 0 | 1.000e+00 | 1.000e+00      | 1.471e-06         | momentum
8  | 0 | 1.000e+00 | 1.000e+00      | 1.135e-06         | momentum
9  | 0 | 1.000e+00 | 1.000e+00      | 1.399e-06         | momentum
10 | 0 | 1.000e+00 | 1.000e+00      | 1.210e-06         | momentum
11 | 0 | 1.000e+00 | 1.000e+00      | 1.486e-06         | momentum
12 | 0 | 1.000e+00 | 1.000e+00      | 1.373e-06         | momentum
13 | 0 | 1.000e+00 | 1.000e+00      | 1.478e-06         | momentum
14 | 0 | 1.000e+00 | 1.000e+00      | 1.328e-06         | momentum
15 | 0 | 1.000e+00 | 1.000e+00      | 1.445e-06         | momentum
16 | 0 | 1.000e+00 | 1.000e+00      | 1.465e-06         | momentum
17 | 0 | 1.000e+00 | 1.000e+00      | 1.267e-06         | momentum
18 | 0 | 1.000e+00 | 1.000e+00      | 1.488e-06         | momentum
19 | 0 | 1.000e+00 | 1.000e+00      | 1.449e-06         | momentum
20 | 0 | 1.000e+00 | 1.000e+00      | 1.475e-06         | momentum
21 | 0 | 1.000e+00 | 1.000e+00      | 1.476e-06         | momentum
22 | 0 | 1.000e+00 | 1.000e+00      | 1.486e-06         | momentum
23 | 0 | 1.000e+00 | 1.000e+00      | 1.480e-06         | momentum
24 | 0 | 1.000e+00 | 1.000e+00      | 1.481e-06         | momentum
25 | 0 | 1.000e+00 | 1.000e+00      | 1.482e-06         | momentum
26 | 0 | 1.000e+00 | 1.000e+00      | 1.487e-06         | momentum
27 | 0 | 1.000e+00 | 1.000e+00      | 1.471e-06         | momentum
28 | 0 | 1.000e+00 | 1.000e+00      | 1.468e-06         | momentum
29 | 0 | 1.000e+00 | 1.000e+00      | 1.474e-06         | momentum
30 | 0 | 1.000e+00 | 1.000e+00      | 1.434e-06         | momentum
31 | 0 | 1.000e+00 | 1.000e+00      | 1.348e-06         | momentum
32 | 0 | 1.000e+00 | 1.000e+00      | 1.386e-06         | momentum
33 | 0 | 1.000e+00 | 1.000e+00      | 1.299e-06         | momentum
34 | 0 | 1.000e+00 | 1.000e+00      | 1.478e-06         | momentum
35 | 0 | 1.000e+00 | 1.000e+00      | 1.330e-06         | momentum
36 | 0 | 1.000e+00 | 1.000e+00      | 1.302e-06         | momentum
37 | 0 | 1.000e+00 | 1.000e+00      | 1.477e-06         | momentum
38 | 0 | 1.000e+00 | 1.000e+00      | 1.460e-06         | momentum
39 | 0 | 1.000e+00 | 1.000e+00      | 1.476e-06         | momentum
40 | 0 | 1.000e+00 | 1.000e+00      | 1.467e-06         | momentum
41 | 0 | 1.000e+00 | 1.000e+00      | 1.416e-06         | momentum
42 | 0 | 1.000e+00 | 1.000e+00      | 1.413e-06         | momentum
43 | 0 | 1.000e+00 | 1.000e+00      | 1.467e-06         | momentum
44 | 0 | 1.000e+00 | 1.000e+00      | 1.334e-06         | momentum
45 | 0 | 1.000e+00 | 1.000e+00      | 1.477e-06         | momentum
46 | 0 | 1.000e+00 | 1.000e+00      | 1.462e-06         | momentum
47 | 0 | 1.000e+00 | 1.000e+00      | 1.415e-06         | momentum
48 | 0 | 1.000e+00 | 1.000e+00      | 1.446e-06         | momentum
49 | 0 | 1.000e+00 | 1.000e+00      | 1.482e-06         | momentum
50 | 0 | 1.000e+00 | 1.000e+00      | 1.467e-06         | momentum

