Renyi - momento alpha=0.800
----------------------------------------------------------------------------------------
Z  | Q | alpha     | RenyiEntropy | integration_error | space    | TwoElectronDensity
----------------------------------------------------------------------------------------
1  | 0 | 8.000e-01 | -2.839e+00   | 3.066e-11         | momentum | False             
2  | 0 | 8.000e-01 | -4.390e+00   | 1.260e-10         | momentum | False             
3  | 0 | 8.000e-01 | -4.933e+00   | 1.939e-10         | momentum | False             
4  | 0 | 8.000e-01 | -5.335e+00   | 3.953e-10         | momentum | False             
5  | 0 | 8.000e-01 | -5.792e+00   | 1.671e-10         | momentum | False             
6  | 0 | 8.000e-01 | -6.186e+00   | 2.604e-10         | momentum | False             
7  | 0 | 8.000e-01 | -6.530e+00   | 2.405e-10         | momentum | False             
8  | 0 | 8.000e-01 | -6.820e+00   | 3.870e-10         | momentum | False             
9  | 0 | 8.000e-01 | -7.087e+00   | 2.475e-10         | momentum | False             
10 | 0 | 8.000e-01 | -7.333e+00   | 3.225e-10         | momentum | False             
11 | 0 | 8.000e-01 | -7.489e+00   | 1.595e-10         | momentum | False             
12 | 0 | 8.000e-01 | -7.622e+00   | 4.440e-10         | momentum | False             
13 | 0 | 8.000e-01 | -7.763e+00   | 5.402e-10         | momentum | False             
14 | 0 | 8.000e-01 | -7.897e+00   | 6.989e-10         | momentum | False             
15 | 0 | 8.000e-01 | -8.025e+00   | 2.879e-10         | momentum | False             
16 | 0 | 8.000e-01 | -8.141e+00   | 3.580e-10         | momentum | False             
17 | 0 | 8.000e-01 | -8.253e+00   | 4.371e-10         | momentum | False             
18 | 0 | 8.000e-01 | -8.361e+00   | 5.100e-10         | momentum | False             
19 | 0 | 8.000e-01 | -8.442e+00   | 7.450e-10         | momentum | False             
20 | 0 | 8.000e-01 | -8.516e+00   | 8.064e-10         | momentum | False             
21 | 0 | 8.000e-01 | -8.618e+00   | 5.814e-10         | momentum | False             
22 | 0 | 8.000e-01 | -8.720e+00   | 3.941e-10         | momentum | False             
23 | 0 | 8.000e-01 | -8.819e+00   | 8.424e-10         | momentum | False             
24 | 0 | 8.000e-01 | -8.938e+00   | 2.243e-10         | momentum | False             
25 | 0 | 8.000e-01 | -9.007e+00   | 3.897e-10         | momentum | False             
26 | 0 | 8.000e-01 | -9.095e+00   | 5.397e-10         | momentum | False             
27 | 0 | 8.000e-01 | -9.181e+00   | 9.329e-10         | momentum | False             
28 | 0 | 8.000e-01 | -9.265e+00   | 5.259e-10         | momentum | False             
29 | 0 | 8.000e-01 | -9.365e+00   | 3.783e-10         | momentum | False             
30 | 0 | 8.000e-01 | -9.425e+00   | 7.143e-10         | momentum | False             
31 | 0 | 8.000e-01 | -9.487e+00   | 6.194e-10         | momentum | False             
32 | 0 | 8.000e-01 | -9.548e+00   | 3.753e-10         | momentum | False             
33 | 0 | 8.000e-01 | -9.606e+00   | 6.712e-10         | momentum | False             
34 | 0 | 8.000e-01 | -9.660e+00   | 9.292e-10         | momentum | False             
35 | 0 | 8.000e-01 | -9.713e+00   | 9.794e-10         | momentum | False             
36 | 0 | 8.000e-01 | -9.765e+00   | 1.022e-09         | momentum | False             
37 | 0 | 8.000e-01 | -9.808e+00   | 6.877e-10         | momentum | False             
38 | 0 | 8.000e-01 | -9.847e+00   | 5.532e-11         | momentum | False             
39 | 0 | 8.000e-01 | -9.896e+00   | 1.028e-09         | momentum | False             
40 | 0 | 8.000e-01 | -9.945e+00   | 9.067e-10         | momentum | False             
41 | 0 | 8.000e-01 | -1.000e+01   | 2.492e-11         | momentum | False             
42 | 0 | 8.000e-01 | -1.005e+01   | 8.406e-10         | momentum | False             
43 | 0 | 8.000e-01 | -1.009e+01   | 7.496e-10         | momentum | False             
44 | 0 | 8.000e-01 | -1.014e+01   | 9.146e-10         | momentum | False             
45 | 0 | 8.000e-01 | -1.019e+01   | 9.898e-10         | momentum | False             
46 | 0 | 8.000e-01 | -1.024e+01   | 1.052e-09         | momentum | False             
47 | 0 | 8.000e-01 | -1.027e+01   | 1.132e-09         | momentum | False             
48 | 0 | 8.000e-01 | -1.031e+01   | 4.973e-10         | momentum | False             
49 | 0 | 8.000e-01 | -1.035e+01   | 7.759e-10         | momentum | False             
50 | 0 | 8.000e-01 | -1.038e+01   | 7.405e-10         | momentum | False             

