EntropicMoment - posicion q=1.750
---------------------------------------------------------------------
Z  | Q | q         | EntropicMoment | integration_error | space   
---------------------------------------------------------------------
1  | 0 | 1.750e+00 | 7.907e-02      | 2.921e-11         | position
2  | 0 | 1.750e+00 | 2.522e-01      | 2.735e-11         | position
3  | 0 | 1.750e+00 | 3.624e-01      | 1.289e-10         | position
4  | 0 | 1.750e+00 | 4.640e-01      | 5.978e-12         | position
5  | 0 | 1.750e+00 | 5.538e-01      | 8.340e-12         | position
6  | 0 | 1.750e+00 | 6.414e-01      | 1.569e-11         | position
7  | 0 | 1.750e+00 | 7.300e-01      | 8.943e-13         | position
8  | 0 | 1.750e+00 | 8.198e-01      | 1.082e-10         | position
9  | 0 | 1.750e+00 | 9.133e-01      | 4.031e-12         | position
10 | 0 | 1.750e+00 | 1.012e+00      | 3.145e-11         | position
11 | 0 | 1.750e+00 | 1.104e+00      | 2.262e-11         | position
12 | 0 | 1.750e+00 | 1.196e+00      | 1.205e-10         | position
13 | 0 | 1.750e+00 | 1.285e+00      | 1.775e-11         | position
14 | 0 | 1.750e+00 | 1.373e+00      | 1.370e-10         | position
15 | 0 | 1.750e+00 | 1.459e+00      | 1.737e-11         | position
16 | 0 | 1.750e+00 | 1.545e+00      | 1.046e-10         | position
17 | 0 | 1.750e+00 | 1.629e+00      | 1.306e-10         | position
18 | 0 | 1.750e+00 | 1.714e+00      | 3.288e-11         | position
19 | 0 | 1.750e+00 | 1.796e+00      | 6.015e-11         | position
20 | 0 | 1.750e+00 | 1.878e+00      | 2.185e-10         | position
21 | 0 | 1.750e+00 | 1.956e+00      | 5.722e-11         | position
22 | 0 | 1.750e+00 | 2.034e+00      | 2.928e-10         | position
23 | 0 | 1.750e+00 | 2.111e+00      | 2.894e-10         | position
24 | 0 | 1.750e+00 | 2.187e+00      | 8.873e-11         | position
25 | 0 | 1.750e+00 | 2.264e+00      | 8.716e-11         | position
26 | 0 | 1.750e+00 | 2.340e+00      | 1.630e-10         | position
27 | 0 | 1.750e+00 | 2.416e+00      | 2.577e-10         | position
28 | 0 | 1.750e+00 | 2.493e+00      | 3.628e-10         | position
29 | 0 | 1.750e+00 | 2.570e+00      | 3.489e-10         | position
30 | 0 | 1.750e+00 | 2.647e+00      | 1.050e-10         | position
31 | 0 | 1.750e+00 | 2.724e+00      | 1.320e-10         | position
32 | 0 | 1.750e+00 | 2.801e+00      | 1.936e-10         | position
33 | 0 | 1.750e+00 | 2.878e+00      | 1.610e-10         | position
34 | 0 | 1.750e+00 | 2.954e+00      | 3.317e-10         | position
35 | 0 | 1.750e+00 | 3.030e+00      | 2.763e-11         | position
36 | 0 | 1.750e+00 | 3.106e+00      | 7.397e-11         | position
37 | 0 | 1.750e+00 | 3.181e+00      | 2.295e-10         | position
38 | 0 | 1.750e+00 | 3.256e+00      | 4.009e-10         | position
39 | 0 | 1.750e+00 | 3.330e+00      | 4.358e-10         | position
40 | 0 | 1.750e+00 | 3.403e+00      | 4.303e-10         | position
41 | 0 | 1.750e+00 | 3.476e+00      | 3.816e-10         | position
42 | 0 | 1.750e+00 | 3.548e+00      | 3.496e-10         | position
43 | 0 | 1.750e+00 | 3.621e+00      | 2.951e-10         | position
44 | 0 | 1.750e+00 | 3.692e+00      | 3.555e-10         | position
45 | 0 | 1.750e+00 | 3.764e+00      | 1.915e-10         | position
46 | 0 | 1.750e+00 | 3.836e+00      | 2.705e-10         | position
47 | 0 | 1.750e+00 | 3.907e+00      | 7.479e-11         | position
48 | 0 | 1.750e+00 | 3.979e+00      | 3.755e-11         | position
49 | 0 | 1.750e+00 | 4.049e+00      | 4.405e-10         | position
50 | 0 | 1.750e+00 | 4.120e+00      | 3.724e-10         | position

