EntropicMoment - posicion (2e) q=0.750
---------------------------------------------------------------------
Z  | Q | q         | EntropicMoment | integration_error | space   
---------------------------------------------------------------------
2  | 0 | 7.500e-01 | 4.976e+00      | 1.455e-06         | position
3  | 0 | 7.500e-01 | 8.978e+00      | 2.699e-06         | position
4  | 0 | 7.500e-01 | 1.022e+01      | 2.541e-06         | position
5  | 0 | 7.500e-01 | 8.888e+00      | 1.488e-06         | position
6  | 0 | 7.500e-01 | 7.327e+00      | 1.038e-05         | position
7  | 0 | 7.500e-01 | 6.078e+00      | 1.299e-06         | position
8  | 0 | 7.500e-01 | 5.280e+00      | 1.232e-06         | position
9  | 0 | 7.500e-01 | 4.585e+00      | 1.489e-06         | position
10 | 0 | 7.500e-01 | 4.003e+00      | 1.371e-06         | position
11 | 0 | 7.500e-01 | 6.051e+00      | 2.199e-06         | position
12 | 0 | 7.500e-01 | 6.579e+00      | 4.695e-06         | position
13 | 0 | 7.500e-01 | 6.927e+00      | 4.512e-06         | position
14 | 0 | 7.500e-01 | 6.617e+00      | 2.513e-06         | position
15 | 0 | 7.500e-01 | 6.171e+00      | 2.570e-06         | position
16 | 0 | 7.500e-01 | 5.838e+00      | 7.467e-06         | position
17 | 0 | 7.500e-01 | 5.454e+00      | 5.958e-06         | position
18 | 0 | 7.500e-01 | 5.071e+00      | 3.190e-06         | position
19 | 0 | 7.500e-01 | 6.843e+00      | 3.138e-06         | position
20 | 0 | 7.500e-01 | 7.302e+00      | 1.506e-06         | position
21 | 0 | 7.500e-01 | 6.902e+00      | 2.699e-06         | position
22 | 0 | 7.500e-01 | 6.494e+00      | 4.586e-06         | position
23 | 0 | 7.500e-01 | 6.115e+00      | 4.055e-06         | position
24 | 0 | 7.500e-01 | 5.221e+00      | 4.202e-06         | position
25 | 0 | 7.500e-01 | 5.440e+00      | 3.836e-06         | position
26 | 0 | 7.500e-01 | 5.154e+00      | 2.050e-06         | position
27 | 0 | 7.500e-01 | 4.887e+00      | 1.662e-06         | position
28 | 0 | 7.500e-01 | 4.641e+00      | 1.435e-06         | position
29 | 0 | 7.500e-01 | 4.110e+00      | 1.936e-06         | position
30 | 0 | 7.500e-01 | 4.200e+00      | 4.758e-06         | position
31 | 0 | 7.500e-01 | 4.460e+00      | 1.457e-06         | position
32 | 0 | 7.500e-01 | 4.432e+00      | 1.483e-06         | position
33 | 0 | 7.500e-01 | 4.332e+00      | 3.131e-06         | position
34 | 0 | 7.500e-01 | 4.271e+00      | 1.476e-06         | position
35 | 0 | 7.500e-01 | 4.164e+00      | 3.864e-06         | position
36 | 0 | 7.500e-01 | 4.037e+00      | 1.894e-06         | position
37 | 0 | 7.500e-01 | 5.108e+00      | 2.846e-06         | position
38 | 0 | 7.500e-01 | 5.435e+00      | 3.960e-06         | position
39 | 0 | 7.500e-01 | 5.336e+00      | 2.362e-06         | position
40 | 0 | 7.500e-01 | 5.190e+00      | 2.021e-06         | position
41 | 0 | 7.500e-01 | 4.704e+00      | 1.489e-06         | position
42 | 0 | 7.500e-01 | 4.534e+00      | 2.792e-06         | position
43 | 0 | 7.500e-01 | 4.732e+00      | 1.463e-06         | position
44 | 0 | 7.500e-01 | 4.304e+00      | 1.482e-06         | position
45 | 0 | 7.500e-01 | 4.187e+00      | 3.449e-06         | position
46 | 0 | 7.500e-01 | 3.666e+00      | 1.474e-06         | position
47 | 0 | 7.500e-01 | 3.958e+00      | 1.471e-06         | position
48 | 0 | 7.500e-01 | 4.061e+00      | 5.105e-06         | position
49 | 0 | 7.500e-01 | 4.272e+00      | 2.590e-06         | position
50 | 0 | 7.500e-01 | 4.287e+00      | 3.514e-06         | position

