EntropicMoment - posicion q=0.750
---------------------------------------------------------------------
Z  | Q | q         | EntropicMoment | integration_error | space   
---------------------------------------------------------------------
1  | 0 | 7.500e-01 | 3.156e+00      | 3.403e-10         | position
2  | 0 | 7.500e-01 | 2.231e+00      | 6.078e-11         | position
3  | 0 | 7.500e-01 | 3.702e+00      | 3.361e-10         | position
4  | 0 | 7.500e-01 | 3.367e+00      | 1.762e-11         | position
5  | 0 | 7.500e-01 | 3.062e+00      | 7.182e-11         | position
6  | 0 | 7.500e-01 | 2.750e+00      | 1.519e-10         | position
7  | 0 | 7.500e-01 | 2.491e+00      | 2.519e-10         | position
8  | 0 | 7.500e-01 | 2.315e+00      | 9.990e-11         | position
9  | 0 | 7.500e-01 | 2.153e+00      | 3.696e-11         | position
10 | 0 | 7.500e-01 | 2.009e+00      | 5.107e-11         | position
11 | 0 | 7.500e-01 | 2.612e+00      | 2.445e-10         | position
12 | 0 | 7.500e-01 | 2.649e+00      | 2.874e-10         | position
13 | 0 | 7.500e-01 | 2.702e+00      | 3.337e-10         | position
14 | 0 | 7.500e-01 | 2.622e+00      | 2.551e-11         | position
15 | 0 | 7.500e-01 | 2.521e+00      | 1.483e-10         | position
16 | 0 | 7.500e-01 | 2.445e+00      | 1.014e-10         | position
17 | 0 | 7.500e-01 | 2.358e+00      | 1.237e-10         | position
18 | 0 | 7.500e-01 | 2.270e+00      | 2.948e-10         | position
19 | 0 | 7.500e-01 | 2.707e+00      | 9.120e-11         | position
20 | 0 | 7.500e-01 | 2.763e+00      | 9.833e-11         | position
21 | 0 | 7.500e-01 | 2.679e+00      | 2.609e-10         | position
22 | 0 | 7.500e-01 | 2.594e+00      | 2.197e-10         | position
23 | 0 | 7.500e-01 | 2.514e+00      | 2.224e-10         | position
24 | 0 | 7.500e-01 | 2.319e+00      | 7.472e-11         | position
25 | 0 | 7.500e-01 | 2.367e+00      | 2.900e-10         | position
26 | 0 | 7.500e-01 | 2.302e+00      | 1.164e-10         | position
27 | 0 | 7.500e-01 | 2.240e+00      | 1.557e-10         | position
28 | 0 | 7.500e-01 | 2.181e+00      | 1.316e-10         | position
29 | 0 | 7.500e-01 | 2.052e+00      | 1.547e-10         | position
30 | 0 | 7.500e-01 | 2.073e+00      | 3.033e-11         | position
31 | 0 | 7.500e-01 | 2.139e+00      | 2.095e-10         | position
32 | 0 | 7.500e-01 | 2.128e+00      | 1.972e-11         | position
33 | 0 | 7.500e-01 | 2.101e+00      | 2.090e-10         | position
34 | 0 | 7.500e-01 | 2.084e+00      | 2.432e-10         | position
35 | 0 | 7.500e-01 | 2.056e+00      | 1.121e-10         | position
36 | 0 | 7.500e-01 | 2.023e+00      | 1.558e-10         | position
37 | 0 | 7.500e-01 | 2.308e+00      | 2.395e-10         | position
38 | 0 | 7.500e-01 | 2.368e+00      | 1.514e-10         | position
39 | 0 | 7.500e-01 | 2.341e+00      | 2.516e-10         | position
40 | 0 | 7.500e-01 | 2.306e+00      | 2.046e-10         | position
41 | 0 | 7.500e-01 | 2.191e+00      | 2.361e-10         | position
42 | 0 | 7.500e-01 | 2.149e+00      | 1.436e-10         | position
43 | 0 | 7.500e-01 | 2.197e+00      | 1.238e-10         | position
44 | 0 | 7.500e-01 | 2.093e+00      | 2.959e-11         | position
45 | 0 | 7.500e-01 | 2.064e+00      | 1.954e-10         | position
46 | 0 | 7.500e-01 | 1.922e+00      | 1.737e-10         | position
47 | 0 | 7.500e-01 | 2.006e+00      | 1.010e-10         | position
48 | 0 | 7.500e-01 | 2.031e+00      | 3.900e-11         | position
49 | 0 | 7.500e-01 | 2.085e+00      | 2.456e-11         | position
50 | 0 | 7.500e-01 | 2.087e+00      | 3.229e-11         | position

