Renyi - momento alpha=1.800
----------------------------------------------------------------------------------------
Z  | Q | alpha     | RenyiEntropy | integration_error | space    | TwoElectronDensity
----------------------------------------------------------------------------------------
1  | 0 | 1.800e+00 | -1.667e+00   | 1.003e-10         | momentum | False             
2  | 0 | 1.800e+00 | -3.064e+00   | 9.017e-12         | momentum | False             
3  | 0 | 1.800e+00 | -1.465e+00   | 3.525e-11         | momentum | False             
4  | 0 | 1.800e+00 | -1.728e+00   | 6.768e-11         | momentum | False             
5  | 0 | 1.800e+00 | -2.621e+00   | 3.159e-12         | momentum | False             
6  | 0 | 1.800e+00 | -3.309e+00   | 4.438e-11         | momentum | False             
7  | 0 | 1.800e+00 | -3.865e+00   | 7.424e-11         | momentum | False             
8  | 0 | 1.800e+00 | -4.284e+00   | 2.461e-11         | momentum | False             
9  | 0 | 1.800e+00 | -4.661e+00   | 1.224e-13         | momentum | False             
10 | 0 | 1.800e+00 | -5.002e+00   | 1.686e-11         | momentum | False             
11 | 0 | 1.800e+00 | -3.884e+00   | 9.680e-11         | momentum | False             
12 | 0 | 1.800e+00 | -3.528e+00   | 7.535e-12         | momentum | False             
13 | 0 | 1.800e+00 | -3.794e+00   | 1.314e-12         | momentum | False             
14 | 0 | 1.800e+00 | -4.054e+00   | 8.000e-12         | momentum | False             
15 | 0 | 1.800e+00 | -4.290e+00   | 4.080e-11         | momentum | False             
16 | 0 | 1.800e+00 | -4.465e+00   | 4.320e-11         | momentum | False             
17 | 0 | 1.800e+00 | -4.644e+00   | 1.833e-11         | momentum | False             
18 | 0 | 1.800e+00 | -4.819e+00   | 1.122e-10         | momentum | False             
19 | 0 | 1.800e+00 | -4.176e+00   | 1.348e-10         | momentum | False             
20 | 0 | 1.800e+00 | -3.819e+00   | 7.786e-11         | momentum | False             
21 | 0 | 1.800e+00 | -4.073e+00   | 1.143e-10         | momentum | False             
22 | 0 | 1.800e+00 | -4.288e+00   | 1.284e-10         | momentum | False             
23 | 0 | 1.800e+00 | -4.486e+00   | 7.782e-11         | momentum | False             
24 | 0 | 1.800e+00 | -5.345e+00   | 1.275e-10         | momentum | False             
25 | 0 | 1.800e+00 | -4.840e+00   | 1.411e-10         | momentum | False             
26 | 0 | 1.800e+00 | -5.013e+00   | 5.881e-11         | momentum | False             
27 | 0 | 1.800e+00 | -5.172e+00   | 7.785e-11         | momentum | False             
28 | 0 | 1.800e+00 | -5.324e+00   | 2.753e-11         | momentum | False             
29 | 0 | 1.800e+00 | -6.026e+00   | 5.152e-11         | momentum | False             
30 | 0 | 1.800e+00 | -5.604e+00   | 8.881e-11         | momentum | False             
31 | 0 | 1.800e+00 | -5.602e+00   | 1.312e-10         | momentum | False             
32 | 0 | 1.800e+00 | -5.654e+00   | 4.199e-11         | momentum | False             
33 | 0 | 1.800e+00 | -5.714e+00   | 1.207e-12         | momentum | False             
34 | 0 | 1.800e+00 | -5.742e+00   | 2.302e-11         | momentum | False             
35 | 0 | 1.800e+00 | -5.788e+00   | 1.519e-11         | momentum | False             
36 | 0 | 1.800e+00 | -5.843e+00   | 8.790e-11         | momentum | False             
37 | 0 | 1.800e+00 | -5.280e+00   | 2.570e-11         | momentum | False             
38 | 0 | 1.800e+00 | -4.898e+00   | 9.359e-11         | momentum | False             
39 | 0 | 1.800e+00 | -5.093e+00   | 2.379e-12         | momentum | False             
40 | 0 | 1.800e+00 | -5.243e+00   | 9.036e-11         | momentum | False             
41 | 0 | 1.800e+00 | -5.908e+00   | 7.040e-11         | momentum | False             
42 | 0 | 1.800e+00 | -6.019e+00   | 7.934e-11         | momentum | False             
43 | 0 | 1.800e+00 | -5.606e+00   | 5.554e-11         | momentum | False             
44 | 0 | 1.800e+00 | -6.183e+00   | 1.277e-10         | momentum | False             
45 | 0 | 1.800e+00 | -6.260e+00   | 2.883e-11         | momentum | False             
46 | 0 | 1.800e+00 | -6.621e+00   | 9.784e-12         | momentum | False             
47 | 0 | 1.800e+00 | -6.407e+00   | 8.472e-11         | momentum | False             
48 | 0 | 1.800e+00 | -6.093e+00   | 1.945e-12         | momentum | False             
49 | 0 | 1.800e+00 | -6.071e+00   | 4.090e-11         | momentum | False             
50 | 0 | 1.800e+00 | -6.082e+00   | 5.388e-11         | momentum | False             

