EntropicMoment - posicion q=2.750
---------------------------------------------------------------------
Z  | Q | q         | EntropicMoment | integration_error | space   
---------------------------------------------------------------------
1  | 0 | 2.750e+00 | 6.486e-03      | 1.390e-10         | position
2  | 0 | 2.750e+00 | 1.081e-01      | 9.645e-11         | position
3  | 0 | 2.750e+00 | 4.078e-01      | 2.878e-12         | position
4  | 0 | 2.750e+00 | 1.010e+00      | 3.582e-11         | position
5  | 0 | 2.750e+00 | 1.941e+00      | 1.792e-10         | position
6  | 0 | 2.750e+00 | 3.259e+00      | 1.129e-11         | position
7  | 0 | 2.750e+00 | 5.010e+00      | 2.507e-10         | position
8  | 0 | 2.750e+00 | 7.251e+00      | 2.496e-11         | position
9  | 0 | 2.750e+00 | 1.002e+01      | 7.963e-11         | position
10 | 0 | 2.750e+00 | 1.335e+01      | 1.648e-10         | position
11 | 0 | 2.750e+00 | 1.744e+01      | 3.429e-10         | position
12 | 0 | 2.750e+00 | 2.232e+01      | 7.216e-10         | position
13 | 0 | 2.750e+00 | 2.795e+01      | 3.979e-09         | position
14 | 0 | 2.750e+00 | 3.439e+01      | 4.030e-09         | position
15 | 0 | 2.750e+00 | 4.168e+01      | 2.021e-10         | position
16 | 0 | 2.750e+00 | 4.987e+01      | 1.839e-09         | position
17 | 0 | 2.750e+00 | 5.898e+01      | 3.150e-10         | position
18 | 0 | 2.750e+00 | 6.906e+01      | 8.257e-10         | position
19 | 0 | 2.750e+00 | 8.026e+01      | 4.439e-10         | position
20 | 0 | 2.750e+00 | 9.258e+01      | 1.301e-08         | position
21 | 0 | 2.750e+00 | 1.058e+02      | 1.017e-08         | position
22 | 0 | 2.750e+00 | 1.202e+02      | 3.816e-09         | position
23 | 0 | 2.750e+00 | 1.356e+02      | 4.670e-09         | position
24 | 0 | 2.750e+00 | 1.520e+02      | 1.691e-08         | position
25 | 0 | 2.750e+00 | 1.699e+02      | 1.984e-08         | position
26 | 0 | 2.750e+00 | 1.888e+02      | 1.404e-08         | position
27 | 0 | 2.750e+00 | 2.090e+02      | 2.238e-08         | position
28 | 0 | 2.750e+00 | 2.304e+02      | 3.122e-08         | position
29 | 0 | 2.750e+00 | 2.528e+02      | 4.724e-10         | position
30 | 0 | 2.750e+00 | 2.771e+02      | 4.049e-08         | position
31 | 0 | 2.750e+00 | 3.027e+02      | 3.448e-08         | position
32 | 0 | 2.750e+00 | 3.298e+02      | 3.690e-08         | position
33 | 0 | 2.750e+00 | 3.583e+02      | 1.801e-08         | position
34 | 0 | 2.750e+00 | 3.883e+02      | 2.373e-09         | position
35 | 0 | 2.750e+00 | 4.198e+02      | 8.407e-09         | position
36 | 0 | 2.750e+00 | 4.529e+02      | 2.281e-08         | position
37 | 0 | 2.750e+00 | 4.877e+02      | 3.577e-08         | position
38 | 0 | 2.750e+00 | 5.242e+02      | 4.577e-08         | position
39 | 0 | 2.750e+00 | 5.621e+02      | 4.947e-08         | position
40 | 0 | 2.750e+00 | 6.016e+02      | 4.545e-08         | position
41 | 0 | 2.750e+00 | 6.426e+02      | 3.975e-08         | position
42 | 0 | 2.750e+00 | 6.855e+02      | 3.479e-08         | position
43 | 0 | 2.750e+00 | 7.302e+02      | 3.164e-08         | position
44 | 0 | 2.750e+00 | 7.762e+02      | 3.157e-08         | position
45 | 0 | 2.750e+00 | 8.242e+02      | 3.823e-08         | position
46 | 0 | 2.750e+00 | 8.737e+02      | 5.458e-08         | position
47 | 0 | 2.750e+00 | 9.255e+02      | 8.510e-08         | position
48 | 0 | 2.750e+00 | 9.792e+02      | 7.438e-08         | position
49 | 0 | 2.750e+00 | 1.035e+03      | 8.749e-08         | position
50 | 0 | 2.750e+00 | 1.092e+03      | 1.249e-07         | position

