EntropicMoment - momento (2e) q=3.000
---------------------------------------------------------------------
Z  | Q | q         | EntropicMoment | integration_error | space   
---------------------------------------------------------------------
2  | 0 | 3.000e+00 | 3.129e-05      | 9.143e-09         | momentum
3  | 0 | 3.000e+00 | 2.206e-04      | 1.464e-06         | momentum
4  | 0 | 3.000e+00 | 8.748e-03      | 1.075e-06         | momentum
5  | 0 | 3.000e+00 | 2.493e-04      | 1.291e-06         | momentum
6  | 0 | 3.000e+00 | 1.566e-05      | 3.194e-08         | momentum
7  | 0 | 3.000e+00 | 1.644e-06      | 2.000e-09         | momentum
8  | 0 | 3.000e+00 | 3.059e-07      | 5.712e-10         | momentum
9  | 0 | 3.000e+00 | 6.665e-08      | 2.657e-10         | momentum
10 | 0 | 3.000e+00 | 1.672e-08      | 8.230e-11         | momentum
11 | 0 | 3.000e+00 | 1.287e-06      | 4.848e-07         | momentum
12 | 0 | 3.000e+00 | 5.543e-05      | 1.188e-06         | momentum
13 | 0 | 3.000e+00 | 1.518e-05      | 1.487e-06         | momentum
14 | 0 | 3.000e+00 | 4.101e-06      | 3.765e-07         | momentum
15 | 0 | 3.000e+00 | 1.260e-06      | 1.812e-07         | momentum
16 | 0 | 3.000e+00 | 5.305e-07      | 6.121e-09         | momentum
17 | 0 | 3.000e+00 | 2.223e-07      | 3.420e-10         | momentum
18 | 0 | 3.000e+00 | 9.584e-08      | 2.716e-08         | momentum
19 | 0 | 3.000e+00 | 2.547e-06      | 1.481e-06         | momentum
20 | 0 | 3.000e+00 | 3.734e-05      | 1.114e-06         | momentum
21 | 0 | 3.000e+00 | 1.382e-05      | 1.196e-06         | momentum
22 | 0 | 3.000e+00 | 6.251e-06      | 1.210e-06         | momentum
23 | 0 | 3.000e+00 | 3.046e-06      | 8.451e-07         | momentum
24 | 0 | 3.000e+00 | 2.905e-08      | 5.391e-09         | momentum
25 | 0 | 3.000e+00 | 8.619e-07      | 4.585e-07         | momentum
26 | 0 | 3.000e+00 | 4.532e-07      | 2.228e-07         | momentum
27 | 0 | 3.000e+00 | 2.528e-07      | 1.061e-07         | momentum
28 | 0 | 3.000e+00 | 1.459e-07      | 5.177e-08         | momentum
29 | 0 | 3.000e+00 | 2.356e-09      | 1.074e-09         | momentum
30 | 0 | 3.000e+00 | 5.353e-08      | 1.199e-08         | momentum
31 | 0 | 3.000e+00 | 4.989e-08      | 1.447e-08         | momentum
32 | 0 | 3.000e+00 | 3.142e-08      | 3.261e-09         | momentum
33 | 0 | 3.000e+00 | 1.918e-08      | 5.339e-08         | momentum
34 | 0 | 3.000e+00 | 1.450e-08      | 5.551e-10         | momentum
35 | 0 | 3.000e+00 | 1.010e-08      | 1.817e-10         | momentum
36 | 0 | 3.000e+00 | 6.821e-09      | 7.370e-12         | momentum
37 | 0 | 3.000e+00 | 1.653e-07      | 4.588e-07         | momentum
38 | 0 | 3.000e+00 | 2.072e-06      | 1.272e-06         | momentum
39 | 0 | 3.000e+00 | 7.891e-07      | 9.304e-07         | momentum
40 | 0 | 3.000e+00 | 3.968e-07      | 3.208e-07         | momentum
41 | 0 | 3.000e+00 | 8.486e-09      | 1.082e-09         | momentum
42 | 0 | 3.000e+00 | 5.073e-09      | 3.892e-09         | momentum
43 | 0 | 3.000e+00 | 8.354e-08      | 1.331e-08         | momentum
44 | 0 | 3.000e+00 | 2.558e-09      | 4.110e-09         | momentum
45 | 0 | 3.000e+00 | 1.880e-09      | 5.125e-10         | momentum
46 | 0 | 3.000e+00 | 1.036e-10      | 1.265e-11         | momentum
47 | 0 | 3.000e+00 | 1.062e-09      | 7.781e-10         | momentum
48 | 0 | 3.000e+00 | 1.089e-08      | 5.194e-09         | momentum
49 | 0 | 3.000e+00 | 1.156e-08      | 1.391e-08         | momentum
50 | 0 | 3.000e+00 | 9.205e-09      | 1.063e-09         | momentum

